Positive pulse time array: 
0.000e+00,1.000e-07,1.000e-07,5.000e-08,1.000e-07,5.000e-06,1.000e-07,1.000e-07,
 
Positive pulse voltage array: 
0.000,0.000,1.750,1.750,-0.200,-0.200,0.000,0.000,
 
Negative pulse time array: 
0.000e+00,1.000e-07,1.000e-07,5.000e-08,1.000e-07,5.000e-06,1.000e-07,1.000e-07,
 
Negative pulse voltage array: 
0.000,0.000,-1.500,-1.500,-0.200,-0.200,0.000,0.000,
 
Positive repetition, Negative repetition, ?ycles: 
20.0,20.0,1.0

Time,Voltage,Current
1.455e-06,-0.203279,0.000113928
1.465e-06,-0.202559,0.000113928
1.475e-06,-0.202559,0.000113928
1.485e-06,-0.201839,0.000113928
1.495e-06,-0.203999,0.000113928
1.505e-06,-0.202559,0.000113928
1.515e-06,-0.200399,0.000113928
1.525e-06,-0.203279,0.000113928
1.535e-06,-0.201119,0.000113928
1.545e-06,-0.200399,0.000113928
1.555e-06,-0.205439,0.000113928
1.565e-06,-0.201839,0.000113928
1.575e-06,-0.199679,0.000113928
1.585e-06,-0.203279,0.000113928
1.595e-06,-0.203279,0.000113928
1.605e-06,-0.204719,0.000113928
1.615e-06,-0.204719,0.000113928
1.625e-06,-0.201119,0.000113392
1.635e-06,-0.203999,0.000112474
1.645e-06,-0.203999,0.00011166
1.655e-06,-0.203279,0.000110937
1.665e-06,-0.203279,0.000110228
1.675e-06,-0.203279,0.000109421
1.685e-06,-0.203999,0.000108698
1.695e-06,-0.205439,0.000108016
1.705e-06,-0.201119,0.000107217
1.715e-06,-0.203999,0.000106389
1.725e-06,-0.202559,0.00010568
1.735e-06,-0.203999,0.000104936
1.745e-06,-0.201119,0.000104261
1.755e-06,-0.201839,0.000103642
1.765e-06,-0.200399,0.000103058
1.775e-06,-0.204719,0.00010255
1.785e-06,-0.202559,0.000102077
1.795e-06,-0.202559,0.000101646
1.805e-06,-0.203279,0.00010118
1.815e-06,-0.201839,0.000100805
1.825e-06,-0.200399,0.000100394
1.835e-06,-0.200399,0.000100102
1.845e-06,-0.203279,9.98518e-05
1.855e-06,-0.203999,9.96988e-05
1.865e-06,-0.201839,9.94554e-05
1.875e-06,-0.200399,9.92746e-05
1.885e-06,-0.201119,9.90869e-05
1.895e-06,-0.201839,9.89408e-05
1.905e-06,-0.198958,9.88365e-05
1.915e-06,-0.201839,9.87809e-05
1.925e-06,-0.201839,9.88156e-05
1.935e-06,-0.201119,9.89617e-05
1.945e-06,-0.202559,9.90034e-05
1.955e-06,-0.201119,9.90173e-05
1.965e-06,-0.202559,9.90034e-05
1.975e-06,-0.201839,9.88782e-05
1.985e-06,-0.203999,9.88713e-05
1.995e-06,-0.200399,9.89686e-05
2.005e-06,-0.203279,9.90243e-05
2.015e-06,-0.201119,9.90173e-05
2.025e-06,-0.205439,9.9066e-05
2.035e-06,-0.203999,9.93163e-05
2.045e-06,-0.206159,9.93998e-05
2.055e-06,-0.201839,9.95458e-05
2.065e-06,-0.203279,9.96571e-05
2.075e-06,-0.202559,9.9831e-05
2.085e-06,-0.203279,9.99909e-05
2.095e-06,-0.203279,0.000100137
2.105e-06,-0.201839,0.000100179
2.115e-06,-0.201839,0.00010029
2.125e-06,-0.202559,0.000100401
2.135e-06,-0.202559,0.000100526
2.145e-06,-0.203279,0.000100679
2.155e-06,-0.203279,0.000100805
2.165e-06,-0.202559,0.000100978
2.175e-06,-0.201119,0.000101243
2.185e-06,-0.201119,0.000101424
2.195e-06,-0.203279,0.000101556
2.205e-06,-0.203279,0.000101646
2.215e-06,-0.203999,0.000101723
2.225e-06,-0.204719,0.000101785
2.235e-06,-0.201119,0.000101799
2.245e-06,-0.203999,0.000101827
