Positive pulse time array: 
0.000e+00,1.000e-07,5.000e-07,1.000e-06,5.000e-07,5.000e-06,1.000e-07,1.000e-07,
 
Positive pulse voltage array: 
0.000,0.000,1.800,1.800,-0.200,-0.200,0.000,0.000,
 
Negative pulse time array: 
0.000e+00,1.000e-07,5.000e-07,1.000e-06,5.000e-07,5.000e-06,1.000e-07,1.000e-07,
 
Negative pulse voltage array: 
0.000,0.000,-1.400,-1.400,-0.200,-0.200,0.000,0.000,
 
Positive repetition, Negative repetition, ?ycles: 
20.0,20.0,2.0

Time,Voltage,Current
5e-09,-0.00310453,-1.44926e-06
1.5e-08,0.00265588,-1.37886e-06
2.5e-08,0.000495731,-1.73088e-06
3.5e-08,0.00193583,-1.87169e-06
4.5e-08,0.000495731,-1.44926e-06
5.5e-08,-0.000944372,-9.56432e-07
6.5e-08,0.00193583,-1.37886e-06
7.5e-08,0.00121578,-1.59007e-06
8.5e-08,0.000495731,-1.37886e-06
9.5e-08,-0.000224321,-1.51967e-06
1.05e-07,0.00265588,-9.56432e-07
1.15e-07,0.0242574,-2.5239e-07
1.25e-07,0.0624201,-4.96947e-06
1.35e-07,0.0969826,-2.42602e-05
1.45e-07,0.130105,-6.29825e-05
1.55e-07,0.166828,-0.000119447
1.65e-07,0.20427,-0.000189781
1.75e-07,0.240993,-0.000269126
1.85e-07,0.278436,-0.000351569
1.95e-07,0.314438,-0.00043183
2.05e-07,0.351161,-0.000506318
2.15e-07,0.387163,-0.000573484
2.25e-07,0.426046,-0.000633186
2.35e-07,0.459888,-0.000686764
2.45e-07,0.495171,-0.000733864
2.55e-07,0.534774,-0.000775051
2.65e-07,0.571496,-0.000810887
2.75e-07,0.606779,-0.000840527
2.85e-07,0.644222,-0.000865168
2.95e-07,0.678064,-0.000887838
3.05e-07,0.713347,-0.000908748
3.15e-07,0.750789,-0.000929236
3.25e-07,0.786792,-0.000948104
3.35e-07,0.822074,-0.000966621
3.45e-07,0.860957,-0.000985419
3.55e-07,0.894799,-0.00100393
3.65e-07,0.931522,-0.00102386
3.75e-07,0.969685,-0.00104463
3.85e-07,1.00641,-0.00106667
3.95e-07,1.04169,-0.00108948
4.05e-07,1.07913,-0.00111341
4.15e-07,1.11442,-0.00113798
4.25e-07,1.15114,-0.00114348
4.35e-07,1.18786,-0.00114348
4.45e-07,1.22602,-0.00114348
4.55e-07,1.26275,-0.00114348
4.65e-07,1.29803,-0.00114348
4.75e-07,1.33475,-0.00114348
4.85e-07,1.37219,-0.00114348
4.95e-07,1.40532,-0.00114348
5.05e-07,1.44636,-0.00114348
5.15e-07,1.47948,-0.00114348
5.25e-07,1.5162,-0.00114348
5.35e-07,1.55293,-0.00114348
5.45e-07,1.59037,-0.00114348
5.55e-07,1.62637,-0.00114348
5.65e-07,1.66237,-0.00114348
5.75e-07,1.69622,-0.00114348
5.85e-07,1.73726,-0.00114348
5.95e-07,1.76894,-0.00114348
6.05e-07,1.80566,-0.00114348
6.15e-07,1.82079,-0.00114348
6.25e-07,1.82079,-0.00114348
6.35e-07,1.81935,-0.00114348
6.45e-07,1.82439,-0.00114348
