Positive pulse time array: 
0.000e+00,1.000e-07,1.000e-07,5.000e-08,1.000e-07,5.000e-06,1.000e-07,1.000e-07,
 
Positive pulse voltage array: 
0.000,0.000,1.750,1.750,0.200,0.200,0.000,0.000,
 
Negative pulse time array: 
0.000e+00,1.000e-07,1.000e-07,5.000e-08,1.000e-07,5.000e-06,1.000e-07,1.000e-07,
 
Negative pulse voltage array: 
0.000,0.000,-1.500,-1.500,0.200,0.200,0.000,0.000,
 
Positive repetition, Negative repetition, ?ycles: 
5.0,5.0,1.0

Time,Voltage,Current
2.435e-06,0.20499,3.13445e-07
2.445e-06,0.20211,2.43901e-07
2.455e-06,0.20211,8.39497e-08
2.465e-06,0.20067,-1.3412e-08
2.475e-06,0.20499,-6.20928e-08
2.485e-06,0.20571,-1.87272e-07
2.495e-06,0.20427,-3.2636e-07
2.505e-06,0.20427,-4.93266e-07
2.515e-06,0.20139,-5.41947e-07
2.525e-06,0.20283,-5.76719e-07
2.535e-06,0.20355,-6.11491e-07
2.545e-06,0.20427,-6.81035e-07
2.555e-06,0.20355,-7.9926e-07
2.565e-06,0.20355,-8.82713e-07
2.575e-06,0.20571,-8.96621e-07
2.585e-06,0.20139,-8.20123e-07
2.595e-06,0.20571,-7.15807e-07
2.605e-06,0.20211,-6.60172e-07
2.615e-06,0.20283,-5.76719e-07
2.625e-06,0.20427,-5.76719e-07
2.635e-06,0.20355,-5.28038e-07
2.645e-06,0.20283,-4.93266e-07
2.655e-06,0.20283,-6.18445e-07
2.665e-06,0.20355,-7.43624e-07
2.675e-06,0.20499,-7.92305e-07
2.685e-06,0.20427,-7.71442e-07
2.695e-06,0.20283,-6.60172e-07
2.705e-06,0.20283,-6.46263e-07
2.715e-06,0.20211,-6.04536e-07
2.725e-06,0.20067,-5.55856e-07
2.735e-06,0.20499,-6.04536e-07
2.745e-06,0.20211,-6.94944e-07
2.755e-06,0.20499,-7.57533e-07
2.765e-06,0.20355,-8.54895e-07
2.775e-06,0.20499,-8.89667e-07
2.785e-06,0.20355,-8.61849e-07
2.795e-06,0.20283,-8.96621e-07
2.805e-06,0.20427,-8.75758e-07
2.815e-06,0.20283,-8.75758e-07
2.825e-06,0.20715,-8.75758e-07
2.835e-06,0.20571,-8.40986e-07
2.845e-06,0.20355,-8.82713e-07
2.855e-06,0.20139,-9.17485e-07
2.865e-06,0.20427,-9.52257e-07
2.875e-06,0.20427,-9.31393e-07
2.885e-06,0.20427,-1.02876e-06
2.895e-06,0.20211,-1.02876e-06
2.905e-06,0.20571,-1.00789e-06
2.915e-06,0.20355,-1.01485e-06
2.925e-06,0.20571,-1.01485e-06
2.935e-06,0.20139,-9.45302e-07
2.945e-06,0.20499,-8.89667e-07
2.955e-06,0.20499,-9.03576e-07
2.965e-06,0.20355,-9.1053e-07
2.975e-06,0.20355,-9.87029e-07
2.985e-06,0.20283,-1.00789e-06
2.995e-06,0.20355,-1.0218e-06
3.005e-06,0.20283,-9.93983e-07
3.015e-06,0.207871,-9.7312e-07
3.025e-06,0.20211,-1.07048e-06
3.035e-06,0.20283,-1.20262e-06
3.045e-06,0.20571,-1.35561e-06
3.055e-06,0.20499,-1.4182e-06
3.065e-06,0.20283,-1.41125e-06
3.075e-06,0.20715,-1.46688e-06
3.085e-06,0.20139,-1.52252e-06
3.095e-06,0.20355,-1.56424e-06
3.105e-06,0.20499,-1.64074e-06
3.115e-06,0.20499,-1.71029e-06
3.125e-06,0.20427,-1.59902e-06
3.135e-06,0.20283,-1.52947e-06
3.145e-06,0.20211,-1.43211e-06
3.155e-06,0.20211,-1.36257e-06
3.165e-06,0.20427,-1.20957e-06
3.175e-06,0.20283,-1.06353e-06
3.185e-06,0.20283,-1.0218e-06
3.195e-06,0.20211,-1.03571e-06
3.205e-06,0.20283,-9.93983e-07
3.215e-06,0.20139,-8.47941e-07
3.225e-06,0.19851,-6.94944e-07
3.235e-06,0.20427,-5.76719e-07
3.245e-06,0.20427,-5.90628e-07
3.255e-06,0.20355,-5.34992e-07
3.265e-06,0.20427,-5.34992e-07
3.275e-06,0.20211,-4.44585e-07
3.285e-06,0.20571,-3.61132e-07
3.295e-06,0.20427,-3.75041e-07
3.305e-06,0.20571,-3.40269e-07
3.315e-06,0.20427,-3.54178e-07
3.325e-06,0.20427,-2.77679e-07
3.335e-06,0.20283,-3.05497e-07
3.345e-06,0.20139,-3.33315e-07
3.355e-06,0.20283,-4.51539e-07
3.365e-06,0.20283,-5.14129e-07
3.375e-06,0.20211,-5.14129e-07
3.385e-06,0.207871,-4.79357e-07
3.395e-06,0.20427,-4.79357e-07
3.405e-06,0.20499,-4.72403e-07
3.415e-06,0.20427,-4.86312e-07
3.425e-06,0.20499,-4.30676e-07
3.435e-06,0.20283,-4.02859e-07
3.445e-06,0.20355,-4.30676e-07
3.455e-06,0.20499,-5.0022e-07
3.465e-06,0.20499,-3.47223e-07
3.475e-06,0.19995,-3.40269e-07
3.485e-06,0.20139,-3.95904e-07
3.495e-06,0.20211,-4.16767e-07
3.505e-06,0.20499,-4.37631e-07
3.515e-06,0.20571,-5.83673e-07
3.525e-06,0.20283,-5.48901e-07
3.535e-06,0.20067,-5.83673e-07
3.545e-06,0.20355,-6.94944e-07
3.555e-06,0.20427,-7.57533e-07
3.565e-06,0.20283,-8.06214e-07
3.575e-06,0.20283,-8.75758e-07
3.585e-06,0.20355,-8.68804e-07
3.595e-06,0.20355,-8.47941e-07
3.605e-06,0.20427,-9.24439e-07
3.615e-06,0.20211,-1.07048e-06
3.625e-06,0.20139,-1.0983e-06
3.635e-06,0.20355,-1.07744e-06
3.645e-06,0.20427,-1.11221e-06
3.655e-06,0.20211,-1.18175e-06
3.665e-06,0.20427,-1.2513e-06
3.675e-06,0.20067,-1.31389e-06
3.685e-06,0.20499,-1.32779e-06
3.695e-06,0.20355,-1.32084e-06
3.705e-06,0.20499,-1.32779e-06
3.715e-06,0.19923,-1.30693e-06
3.725e-06,0.20211,-1.32779e-06
3.735e-06,0.20283,-1.30693e-06
3.745e-06,0.20067,-1.38343e-06
3.755e-06,0.20427,-1.39734e-06
