
  26.000        150.00	    47.434
  26.050        147.27	    47.000
  26.100        147.60	    47.053
  26.150        152.60	    47.843
  26.200        149.87	    47.413
  26.250        151.20	    47.624
  26.300        147.27	    47.000
  26.350        145.07	    46.648
  26.400        150.80	    47.560
  26.450        145.47	    46.712
  26.500        142.40	    46.217
  26.550        150.33	    47.487
  26.600        157.53	    48.611
  26.650        150.47	    47.508
  26.700        148.93	    47.265
  26.750        151.47	    47.666
  26.800        151.87	    47.728
  26.850        155.47	    48.291
  26.900        155.67	    48.322
  26.950        155.27	    48.260
  27.000        150.07	    47.445
  27.050        157.67	    48.631
  27.100        156.40	    48.436
  27.150        158.00	    48.683
  27.200        158.60	    48.775
  27.250        166.13	    49.920
  27.300        164.87	    49.729
  27.350        172.93	    50.931
  27.400        184.53	    52.612
  27.450        183.60	    52.479
  27.500        188.00	    53.104
  27.550        199.60	    54.717
  27.600        215.07	    56.798
  27.650        234.33	    59.287
  27.700        252.47	    61.539
  27.750        310.40	    68.235
  27.800        353.47	    72.815
  27.850        442.73	    81.492
  27.900        541.60	    90.133
  27.950        724.07	   104.216
  28.000        970.00	   120.623
  28.050       1319.33	   140.677
  28.100       1765.07	   162.714
  28.150       2164.67	   180.194
  28.200       2345.80	   187.582
  28.250       2083.13	   176.768
  28.300       1577.07	   153.805
  28.350       1151.33	   131.415
  28.400        843.87	   112.508
  28.450        652.67	    98.944
  28.500        513.40	    87.755
  28.550        416.07	    79.000
  28.600        351.80	    72.643
  28.650        305.73	    67.720
  28.700        273.53	    64.055
  28.750        253.60	    61.677
  28.800        227.93	    58.472
  28.850        215.40	    56.842
  28.900        201.53	    54.982
  28.950        198.67	    54.589
  29.000        190.60	    53.470
  29.050        181.20	    52.134
  29.100        181.93	    52.240
  29.150        181.73	    52.211
  29.200        176.13	    51.400
  29.250        179.27	    51.856
  29.300        174.73	    51.196
  29.350        172.47	    50.863
  29.400        173.07	    50.951
  29.450        179.53	    51.894
  29.500        187.87	    53.085
  29.550        186.67	    52.915
  29.600        195.07	    54.093
  29.650        205.33	    55.498
  29.700        218.27	    57.219
  29.750        234.80	    59.346
  29.800        252.27	    61.514
  29.850        276.13	    64.358
  29.900        296.87	    66.731
  29.950        324.07	    69.721
  30.000        336.40	    71.035
  30.050        351.13	    72.574
  30.100        358.13	    73.294
  30.150        374.27	    74.927
  30.200        370.13	    74.512
  30.250        365.93	    74.088
  30.300        354.00	    72.870
  30.350        325.47	    69.871
  30.400        302.87	    67.402
  30.450        279.33	    64.730
  30.500        254.87	    61.830
  30.550        239.87	    59.983
  30.600        228.40	    58.532
  30.650        227.40	    58.404
  30.700        212.07	    56.400
  30.750        210.73	    56.223
  30.800        222.73	    57.801
  30.850        215.40	    56.842
  30.900        225.33	    58.138
  30.950        241.40	    60.175
  31.000        258.00	    62.209
  31.050        311.07	    68.308
  31.100        349.07	    72.360
  31.150        421.93	    79.555
  31.200        524.87	    88.730
  31.250        662.67	    99.700
  31.300        846.73	   112.699
  31.350       1082.53	   127.428
  31.400       1342.13	   141.887
  31.450       1551.87	   152.571
  31.500       1598.87	   154.864
  31.550       1389.73	   144.381
  31.600       1087.13	   127.699
  31.650        766.80	   107.247
  31.700        540.20	    90.017
  31.750        409.93	    78.416
  31.800        325.67	    69.893
  31.850        252.33	    61.522
  31.900        224.47	    58.026
  31.950        195.33	    54.129
  32.000        176.87	    51.507
  32.050        165.00	    49.749
  32.100        152.60	    47.843
  32.150        134.13	    44.855
  32.200        135.53	    45.089
  32.250        135.67	    45.111
  32.300        124.73	    43.255
  32.350        125.00	    43.301
  32.400        115.40	    41.605
  32.450        120.40	    42.497
  32.500        113.60	    41.280
  32.550        107.87	    40.224
  32.600        112.00	    40.988
  32.650        106.40	    39.950
  32.700        106.80	    40.025
  32.750        105.67	    39.812
  32.800        107.33	    40.125
  32.850        102.07	    39.128
  32.900        103.40	    39.383
  32.950        102.67	    39.243
  33.000        101.07	    38.936
  33.050        101.40	    39.000
  33.100         96.67	    38.079
  33.150         96.80	    38.105
  33.200        102.07	    39.128
  33.250         97.93	    38.328
  33.300         99.67	    38.665
  33.350         98.53	    38.445
  33.400         99.33	    38.601
  33.450         99.67	    38.665
  33.500         96.80	    38.105
  33.550         97.27	    38.197
  33.600         99.40	    38.613
  33.650        101.80	    39.077
  33.700        100.20	    38.769
  33.750        107.73	    40.200
  33.800        112.67	    41.110
  33.850        118.93	    42.237
  33.900        124.60	    43.232
  33.950        136.93	    45.321
  34.000        148.33	    47.170
  34.050        170.33	    50.547
  34.100        171.47	    50.715
  34.150        180.93	    52.096
  34.200        188.00	    53.104
  34.250        187.73	    53.066
  34.300        182.53	    52.326
  34.350        180.27	    52.000
  34.400        176.73	    51.488
  34.450        175.07	    51.245
  34.500        162.80	    49.417
  34.550        156.93	    48.518
  34.600        141.53	    46.076
  34.650        142.67	    46.260
  34.700        133.60	    44.766
  34.750        120.33	    42.485
  34.800        118.73	    42.202
  34.850        113.87	    41.328
  34.900        108.60	    40.361
  34.950        108.27	    40.299
  35.000        103.93	    39.484
  35.050         98.93	    38.523
  35.100        103.60	    39.421
  35.150        107.07	    40.075
  35.200        104.13	    39.522
  35.250        108.40	    40.324
  35.300        108.40	    40.324
  35.350        101.13	    38.949
  35.400        101.93	    39.102
  35.450         97.67	    38.275
  35.500         93.00	    37.350
  35.550         88.33	    36.401
  35.600         84.07	    35.511
  35.650         89.13	    36.565
  35.700         92.67	    37.283
  35.750         94.27	    37.603
  35.800         92.00	    37.148
  35.850         94.40	    37.630
  35.900         95.47	    37.842
  35.950         96.67	    38.079
  36.000         92.40	    37.229
  36.050         88.20	    36.373
  36.100         80.27	    34.699
  36.150         80.73	    34.799
  36.200         82.53	    35.185
  36.250         79.80	    34.598
  36.300         77.40	    34.073
  36.350         73.07	    33.106
  36.400         77.27	    34.044
  36.450         71.53	    32.757
  36.500         71.60	    32.772
  36.550         72.20	    32.909
  36.600         70.93	    32.619
  36.650         69.47	    32.280
  36.700         69.53	    32.296
  36.750         68.60	    32.078
  36.800         69.60	    32.311
  36.850         70.00	    32.404
  36.900         69.93	    32.388
  36.950         64.67	    31.145
  37.000         71.53	    32.757
  37.050         66.80	    31.654
  37.100         66.73	    31.639
  37.150         71.20	    32.680
  37.200         71.60	    32.772
  37.250         68.33	    32.016
  37.300         65.00	    31.225
  37.350         68.60	    32.078
  37.400         66.80	    31.654
  37.450         67.33	    31.780
  37.500         62.27	    30.561
  37.550         67.73	    31.875
  37.600         63.67	    30.903
  37.650         68.20	    31.984
  37.700         64.40	    31.081
  37.750         65.47	    31.337
  37.800         68.80	    32.125
  37.850         66.67	    31.623
  37.900         65.27	    31.289
  37.950         67.40	    31.796
  38.000         66.47	    31.575
