	 h	 k	 l	   d	  I
	 1	 0	 1	2.9527	 999
	 0	 0	 2	2.5919	  81
	 1	 1	 0	2.5403	 127
	 1	 0	 2	2.1019	  12
	 1	 1	 2	1.8142	 332
	 2	 0	 0	1.7962	 174
	 2	 0	 1	1.6972	   1
	 1	 0	 3	1.5572	 115
	 2	 1	 1	1.5346	 218
	 2	 0	 2	1.4764	  53
	 2	 1	 2	1.3655	   3
	 0	 0	 4	1.2959	  17
	 2	 2	 0	1.2701	  41
	 1	 0	 4	1.2190	   2
	 2	 1	 3	1.1766	  76
	 3	 0	 1	1.1668	  37
	 1	 1	 4	1.1544	  28
	 2	 2	 2	1.1406	  21
	 3	 1	 0	1.1360	  19
