	 h	 k	 l	   d	  I
	 1	 0	 0	5.0761	  70
	 0	 1	 1	3.6919	 158
	 1	 1	 0	3.6323	 117
	-1	 1	 1	3.1598	 999
	 1	 1	 1	2.8375	 670
	 0	 0	 2	2.6213	 202
	 0	 2	 0	2.6000	 125
	 2	 0	 0	2.5380	 144
	-1	 0	 2	2.4977	  29
	 0	 2	 1	2.3293	  52
	 1	 2	 0	2.3141	   4
	 2	 1	 0	2.2809	   9
	-1	 1	 2	2.2514	   4
	-2	 1	 1	2.2110	 129
	 1	 0	 2	2.1906	  44
	-1	 2	 1	2.1765	  46
	 1	 2	 1	2.0622	   1
	 1	 1	 2	2.0188	  66
	 2	 1	 1	1.9893	  69
	-2	 0	 2	1.9893	  69
	-2	 1	 2	1.8580	  20
	 0	 2	 2	1.8460	 171
	 2	 2	 0	1.8162	 208
	-1	 2	 2	1.8012	 118
	-2	 2	 1	1.7803	  51
	 2	 0	 2	1.6931	 112
	 3	 0	 0	1.6931	 112
	 1	 2	 2	1.6753	   6
	 0	 1	 3	1.6565	  92
	-1	 1	 3	1.6503	  71
	 0	 3	 1	1.6457	  38
	 1	 3	 0	1.6403	  71
	 3	 1	 0	1.6083	  76
	-3	 1	 1	1.6083	  76
	-1	 3	 1	1.5891	  48
	-2	 2	 2	1.5799	  33
	 1	 3	 1	1.5429	  86
	-3	 0	 2	1.5381	  91
	 1	 1	 3	1.5087	  56
	-2	 1	 3	1.4948	  61
	 3	 1	 1	1.4765	  91
	 0	 2	 3	1.4504	  13
	-1	 2	 3	1.4462	  24
	 0	 3	 2	1.4462	  24
	 2	 3	 0	1.4314	   8
	-1	 3	 2	1.4240	  23
	 2	 2	 2	1.4188	  59
	 3	 2	 0	1.4188	  59
	 1	 3	 2	1.3593	  20
	 1	 2	 3	1.3481	   7
	-2	 2	 3	1.3381	   5
	-3	 2	 2	1.3238	  21
	-1	 0	 4	1.3212	  42
	 0	 0	 4	1.3106	   9
	-2	 3	 2	1.3068	  15
	 0	 4	 0	1.3000	  18
	 2	 1	 3	1.3000	  18
	-3	 1	 3	1.2851	   4
	 4	 0	 0	1.2690	  16
	 0	 4	 1	1.2618	  40
	 1	 4	 0	1.2594	  22
	-2	 0	 4	1.2488	   1
	-4	 1	 1	1.2440	  23
	-1	 4	 1	1.2357	   3
	 4	 1	 0	1.2328	   8
	 0	 3	 3	1.2306	   8
	-1	 3	 3	1.2281	   8
	 1	 0	 4	1.2226	   7
	-4	 0	 2	1.2214	   5
	-2	 1	 4	1.2143	   6
	 1	 4	 1	1.2143	   6
	 3	 3	 0	1.2108	  21
	-3	 3	 1	1.2108	  21
	 2	 2	 3	1.1929	   4
	 1	 1	 4	1.1890	   3
	-4	 1	 2	1.1890	   3
	-3	 2	 3	1.1814	   5
	-1	 2	 4	1.1779	  17
	 0	 2	 4	1.1704	   6
	 1	 3	 3	1.1663	  18
	 0	 4	 2	1.1646	   7
	 4	 1	 1	1.1598	  23
	-2	 3	 3	1.1598	  23
	 2	 4	 0	1.1571	  18
	-1	 4	 2	1.1531	   4
	 3	 3	 1	1.1512	  15
	-3	 3	 2	1.1512	  15
	-2	 4	 1	1.1476	  18
	 4	 2	 0	1.1404	  14
	-3	 0	 4	1.1271	  14
	-2	 2	 4	1.1257	   5
	 1	 4	 2	1.1180	   3
	 2	 4	 1	1.1129	  19
	 1	 2	 4	1.1064	  20
	 3	 1	 3	1.1030	  31
	 2	 0	 4	1.0953	  11
	-4	 1	 3	1.0904	  26
