	 h	 k	 l	   d	  I
	 0	 1	 1	2.9700	 100
	 0	 0	 2	2.6220	  40
	 2	 0	 0	2.5550	  50
	 1	 0	 2	2.3560	  40
	 2	 0	 2	1.8370	  80
	 2	 2	 0	1.8110	  80
	 -	 -	 -	1.6750	   5
	 -	 -	 -	1.5780	  60
	 3	 1	 1	1.5480	  70
	 2	 2	 2	1.4970	  60
	 0	 0	 4	1.3150	   5
	 4	 0	 0	1.2800	  30
	 3	 1	 3	1.1940	  60
	 -	 -	 -	1.1830	  30
	 2	 0	 4	1.1720	  30
	 4	 0	 2	1.1540	  60
	 2	 2	 4	1.0660	   5
	 4	 2	 2	1.0530	  70
