	 h	 k	 l	   d	  I
	 1	 1	 0	4.2351	   1
	 0	 2	 0	3.2420	  39
	 0	 1	 1	2.9643	 497
	 1	 2	 0	2.8049	 998
	 2	 0	 0	2.7965	 999
	 1	 1	 1	2.6192	 930
	 2	 1	 0	2.5679	  11
	 1	 2	 1	2.1461	  53
	 2	 0	 1	2.1423	  68
	 2	 2	 0	2.1176	  48
	 2	 1	 1	2.0342	 582
	 1	 3	 0	2.0160	  24
	 0	 3	 1	1.8134	 328
	 3	 1	 0	1.7917	   6
	 2	 2	 1	1.7873	   7
	 1	 3	 1	1.7250	 131
	 2	 3	 0	1.7101	  13
	 0	 0	 2	1.6665	 186
	 0	 4	 0	1.6210	 117
	 3	 2	 0	1.6162	 263
	 3	 1	 1	1.5782	 219
	 1	 4	 0	1.5569	  14
	 2	 3	 1	1.5215	 244
	 0	 2	 2	1.4821	   5
	 3	 2	 1	1.4542	   4
	 1	 2	 2	1.4327	 212
	 2	 0	 2	1.4327	 212
	 3	 3	 0	1.4106	   2
	 1	 4	 1	1.4106	   2
	 2	 4	 0	1.4024	  83
	 4	 0	 0	1.3982	  82
	 2	 1	 2	1.3982	  82
	 4	 1	 0	1.3668	   3
	 2	 2	 2	1.3096	  12
	 3	 3	 1	1.2999	  27
	 2	 4	 1	1.2927	   3
	 4	 0	 1	1.2894	   3
	 1	 3	 2	1.2845	   4
	 4	 2	 0	1.2845	   4
	 4	 1	 1	1.2646	  31
	 3	 4	 0	1.2233	   8
	 3	 1	 2	1.2203	   5
	 0	 5	 1	1.2085	   1
	 4	 2	 1	1.1981	   1
	 2	 3	 2	1.1935	   4
	 1	 5	 1	1.1813	  75
	 4	 3	 0	1.1740	   3
	 0	 4	 2	1.1620	  58
	 3	 2	 2	1.1602	 112
	 3	 4	 1	1.1484	   3
	 1	 4	 2	1.1377	   7
	 2	 5	 1	1.1094	  14
	 4	 3	 1	1.1073	  47
	 5	 1	 0	1.1023	   3
	 0	 1	 3	1.0950	  13
