
Time,Voltage,Current
5e-09,-0.00257777,3.06765e-07
1.5e-08,-0.000466987,2.21292e-07
2.5e-08,-0.000466987,5.74703e-08
3.5e-08,-0.00257777,-2.41683e-07
4.5e-08,0.000236607,-5.62205e-07
5.5e-08,0.000940201,-7.26027e-07
6.5e-08,0.00164379,-6.90414e-07
7.5e-08,0.000236607,-5.97819e-07
8.5e-08,-0.00257777,-6.19187e-07
9.5e-08,0.000940201,-6.33432e-07
1.05e-07,-0.0440898,-7.3315e-07
1.15e-07,-0.321306,-4.33996e-07
1.25e-07,-0.713911,5.52059e-06
1.35e-07,-1.11637,3.21381e-05
1.45e-07,-1.52797,9.03591e-05
1.55e-07,-1.93817,0.000116678
1.65e-07,-2.34625,0.000116678
1.75e-07,-2.74871,0.000116678
1.85e-07,-3.15327,0.000116678
1.95e-07,-3.55362,0.000116678
2.05e-07,-3.90119,0.000116678
2.15e-07,-4.02925,0.000116678
2.25e-07,-4.01517,0.000116678
2.35e-07,-4.00744,0.000116678
2.45e-07,-4.00884,0.000116678
2.55e-07,-4.00181,0.000116678
2.65e-07,-3.99547,0.000116678
2.75e-07,-3.98985,0.000116678
2.85e-07,-3.98351,0.000116678
2.95e-07,-3.98,0.000116678
3.05e-07,-3.98,0.000116678
3.15e-07,-3.97788,0.000116678
3.25e-07,-3.97859,0.000116678
3.35e-07,-3.97366,0.000116678
3.45e-07,-3.97718,0.000116678
3.55e-07,-3.97577,0.000116678
3.65e-07,-3.97507,0.000116678
3.75e-07,-3.97437,0.000116678
3.85e-07,-3.97155,0.000116678
3.95e-07,-3.97648,0.000116678
4.05e-07,-3.97296,0.000116678
4.15e-07,-3.97226,0.000116678
4.25e-07,-3.97507,0.000116678
4.35e-07,-3.97577,0.000116678
4.45e-07,-3.97366,0.000116678
4.55e-07,-3.97437,0.000116678
4.65e-07,-3.97507,0.000116678
4.75e-07,-3.97437,0.000116678
4.85e-07,-3.97507,0.000116678
4.95e-07,-3.97577,0.000116678
5.05e-07,-3.97437,0.000116678
5.15e-07,-3.97648,0.000116678
5.25e-07,-3.97718,0.000116678
5.35e-07,-3.97788,0.000116678
5.45e-07,-3.97718,0.000116678
5.55e-07,-3.97859,0.000116678
5.65e-07,-3.97929,0.000116678
5.75e-07,-3.97859,0.000116678
5.85e-07,-3.97788,0.000116678
5.95e-07,-3.97859,0.000116678
6.05e-07,-3.97929,0.000116678
6.15e-07,-3.97718,0.000116678
6.25e-07,-3.9807,0.000116678
6.35e-07,-3.98,0.000116678
6.45e-07,-3.9814,0.000116678
6.55e-07,-3.9807,0.000116678
6.65e-07,-3.98,0.000116678
6.75e-07,-3.9807,0.000116678
6.85e-07,-3.9807,0.000116678
6.95e-07,-3.97859,0.000116678
7.05e-07,-3.94482,0.000116678
7.15e-07,-3.73796,0.000116678
7.25e-07,-3.44315,0.000116678
7.35e-07,-3.13216,0.000116678
7.45e-07,-2.82751,0.000116678
7.55e-07,-2.51793,0.000116678
7.65e-07,-2.21608,0.000116678
7.75e-07,-1.92198,0.000116678
7.85e-07,-1.62436,0.000116678
7.95e-07,-1.32322,0.000116678
8.05e-07,-1.0643,0.000116678
8.15e-07,-0.971427,0.000116678
8.25e-07,-0.972834,0.000116678
8.35e-07,-0.981981,0.000116678
8.45e-07,-0.983388,0.000116678
8.55e-07,-0.98972,0.000116678
8.65e-07,-0.993942,0.000116678
8.75e-07,-0.99746,0.000116678
8.85e-07,-0.999571,0.000116678
8.95e-07,-1.0045,0.000116678
9.05e-07,-1.0052,0.000116678
9.15e-07,-1.00238,0.000116678
9.25e-07,-1.0059,0.000116678
9.35e-07,-1.00661,0.000116678
9.45e-07,-1.01012,0.000116678
9.55e-07,-1.00801,0.000116678
9.65e-07,-1.00872,0.000116678
9.75e-07,-1.00731,0.000116678
9.85e-07,-1.00309,0.000116678
9.95e-07,-1.0052,0.000116678
1.005e-06,-1.0045,0.000116678
