  Measurement Number     Measurement type
                   1            NewRelaib

      Measurement ID                 Mode
       739694.786979                WGFMU

        SetPulseBias        SetPulseWidth       ResetPulseBias      ResetPulseWidth
                -2.5             1.01e-05                    3             1.01e-05

           Rise time            Fall Time           Separation
               1e-07                1e-07                1e-05

              Cycles       Steps in cycle         Test voltage
                 512               100000                    1

      Step        LRS        HRS
         1  2372.2281  39621.633
        15 20907.0013  42563.307
        29  2539.5086  41732.099
        43  2716.9966 43183.9374
        57  2186.5486 43971.4193
        71  2653.6495 43920.0127
        85  2108.1699 44197.4196
        99  2007.4988 44539.4143
       113  2210.9936 43012.1784
       127  1890.4875 46873.5863
       141   2120.685 43507.7181
       155   1870.325  1482.2946
       169  1966.2156 43386.0622
       183  2246.2371 43064.0821
       197   2348.445 43998.5256
       211  2167.3335 45767.4954
       225  1456.1393  1433.6155
       239  1413.9707  1558.2164
       253  2059.1663 45519.3939
       267  1771.3805  1522.2416
       281  1912.8565 44392.5944
       295  2065.3752 46185.0707
       309  1787.0452 46015.3504
       323  2513.4933 45025.4915
       337  1476.3617  2401.3757
       351  1863.4011  2220.2649
       365  1926.6013 42934.5587
       379  1398.1604  1432.4934
       393  1422.9632  1461.5152
       407  2527.2435  44620.163
       421  1519.9336  2493.0024
       435  1857.9441 44167.3353
       449  1970.1176 26867.8385
       463  1919.3789  2063.3035
       477  1926.6948  2076.2378
       491  1912.6924  2074.0598
       505  1909.6679  2019.6722
       519  1813.0519  1953.6542
       533  1783.7271  1960.8355
       547  1802.9987  1976.3094
       561  1849.4997  1999.5745
       575  1835.3792  1923.2788
       589  1852.5383  1937.4477
       603   1819.518   1930.473
       617  1835.9977    1909.77
       631  1843.9713  1925.0528
       645  1754.5117  1953.9752
       659  1842.6431  1950.8454
       673   1811.616  1937.4846
       687   1938.179  2027.0775
       701   1978.413  2005.4626
       715  2006.6747  2167.9523
       729  1905.3245  2146.5407
       743  1875.4362   2109.865
       757  1935.8712  2062.4092
       771  1964.9488  2124.1878
       785  2044.9304  2160.5432
       799  2058.9999  2223.5712
       813  2032.9956   2214.609
       827  2033.7138  2223.3149
       841  2037.8948  2222.0344
       855  2040.1316  2220.4928
       869  2249.3235  2316.8395
       883  2402.1355  2419.3158
       897  2354.3556  2317.7573
       911  2288.9325   2303.344
       925    2447.38  2559.2499
       939  2498.6841   2712.041
       953  2592.6424  2721.0985
       967   2478.545  2558.4151
       981  2474.3346  2743.9138
       995  2458.8973  2712.9585
      1009  2396.3045  2698.1899
      1023  2635.9403  2772.3171
      1037  2491.7927  2740.4266
      1051   2559.663  2835.2206
      1065  2561.1143  3009.7751
      1079  1950.6801  3492.5482
      1093   2697.252  2928.4814
      1107  2158.0218  2114.4653
      1121  2021.0849  2197.4136
      1135  2115.2737  2514.1041
      1149  2134.3894  2080.5651
      1163  2148.8219  2212.3779
      1177  2138.3221  2258.0979
      1191   2160.334  2234.9482
      1205  2620.9758  3091.3403
      1219  2622.7671  3581.4345
      1233  1590.6331  2280.5511
      1247  1910.8795   2895.537
      1261  2032.7988 23800.1961
      1275  1633.6331  2085.0933
      1289  1637.5498  2061.8134
      1303  1713.1654  2033.0188
      1317  1782.1192  2016.7161
      1331  1684.5705  1997.4648
      1345  1747.7407  1997.6102
      1359  1767.3888  2021.8464
