  Measurement Number     Measurement type
                 124            NewRelaib

      Measurement ID                 Mode
       739694.760660                WGFMU

        SetPulseBias        SetPulseWidth       ResetPulseBias      ResetPulseWidth
                  -3              0.00101                  3.5              0.00101

           Rise time            Fall Time           Separation
               1e-05                1e-05                0.001

              Cycles       Steps in cycle         Test voltage
                 395                10000                   10

      Step        LRS        HRS
        10   894.9953  3559.0686
        20   651.3979  4123.4965
        30     636.05  4206.2931
        40   688.0108  4595.1836
        50   726.9611  4769.7174
        60   709.9555  4582.1976
        70   730.0594  4794.6943
        80   738.2381  4081.9767
        90   712.1771  4802.1146
       100   736.3141  4447.1511
       110   766.8316   4322.376
       120   756.5393  4650.3006
       130   858.8351  4697.3817
       140   828.9758  4389.1222
       150   792.3105  4032.9768
       160   789.6482  4726.0926
       170   827.0873   4449.289
       180    758.819  4311.2524
       190   693.8084  4626.8379
       200    743.836  4715.6711
       210   733.7447  4457.1143
       220   741.0357  5191.1302
       230   736.9795   4305.475
       240   726.5373  4155.0147
       250   741.2626  4782.3232
       260   745.3882  4349.1603
       270   761.9832  3826.4637
       280   845.5684  4171.0419
       290   787.1008  4146.9983
       300   775.5351  4561.7262
       310   763.8355    3885.66
       320   773.2926  3883.4185
       330    782.817  4647.5391
       340   798.0347  4614.7185
       350   773.1986  4200.8356
       360   806.9328  4878.2042
       370   785.3377  4300.6871
       380   764.9482  4836.2519
       390   764.0085  4941.7934
       400   785.9466  4426.0383
       410   802.7491  4440.4469
       420   805.8605  2802.6233
       430   794.7302  4662.5447
       440   738.9768  4658.4159
       450   812.3004  4179.7045
       460   781.7657  3959.4106
       470   789.3663  4342.7836
       480   784.1816  4491.8075
       490   780.9388   4151.554
       500   759.3113  3300.5204
       510   770.1014  4135.5665
       520   810.8322  3907.8767
       530   783.7286  4119.0592
       540   784.8915   4307.756
       550   780.3426  3281.2266
       560   793.7748  3955.9658
       570   769.4884  4307.2097
       580   833.9601  3952.5303
       590   798.4625  3777.0366
       600   784.1108  3771.6914
