  Measurement Number     Measurement type
                 120            NewRelaib

      Measurement ID                 Mode
       739694.755316                WGFMU

        SetPulseBias        SetPulseWidth       ResetPulseBias      ResetPulseWidth
                   1              0.00101                   -1              0.00101

           Rise time            Fall Time           Separation
               1e-05                1e-05                0.001

              Cycles       Steps in cycle         Test voltage
                 100                  100                    1

      Step        LRS        HRS
         1  1982.9651 47502.9792
         2  3870.5521 39606.0462
         3  2529.7007 22686.8846
         4  3925.3107 21747.1038
         5  4431.1318 23351.9628
         6  3395.2184 22670.9152
         7  3583.7873 20840.5404
         8  4761.5513 23158.7267
         9  4078.9752 20644.9219
        10  3348.6036 21852.6928
        11  2685.0054 20022.5297
        12  3222.2323 20293.9099
        13  4421.7944 22128.2861
        14  4514.1544 21972.4582
        15  2656.1825 22183.6104
        16  4837.5809 25880.7821
        17  4776.7717 22827.9562
        18  4336.7082 26586.7884
        19  4758.2885  22079.753
        20  2989.8832  20492.528
        21  2324.6544 27297.8102
        22  2855.3628 24451.3385
        23  4150.3212 26172.7074
        24  4763.4567 20323.2766
        25  3008.7776 21007.4446
        26  4224.1448 22089.1689
        27  4673.6425 20549.1151
        28  3922.0785 20306.3759
        29   2954.116 20808.9384
        30  4716.3859  20381.922
        31   4552.477 21589.3761
        32  3001.9328 30067.6138
        33   4618.329 20695.3737
        34  4513.5353 20046.7279
        35  4196.2784 20335.8242
        36  4178.6545 22220.0112
        37  2877.8203 21539.7798
        38  4313.8541 25057.8873
        39  2391.7877 23272.1979
        40  4364.9794 20682.0065
        41  2672.2963 28776.1061
        42  4908.3278 30129.0447
        43  2549.2471 24563.4763
        44  2255.9859 21115.0967
        45  2956.9094 21127.3276
        46   3070.695 22251.0041
        47  2317.5132 26970.7771
        48  2653.3799 28032.0348
        49  4691.6066 30067.3095
        50  4007.8502 25352.4449
        51  2415.0493 20180.0491
        52  3800.7045 23213.5161
        53  4451.3344 28642.8654
        54  4075.7999 24710.0852
        55  3880.8137 20178.4166
        56  4588.5493  23321.062
        57  2320.4026 21687.1511
        58  2433.2404 21166.4502
        59  2668.0942 22500.8663
        60  3222.8783 21057.7832
        61  2523.5488 21009.7815
        62  2258.8841 22386.3045
        63  2881.0577  21409.635
        64  3094.6489 23377.0956
        65  2192.7555  27987.025
        66  2376.3758 24358.4783
        67  4073.3037 24300.8986
        68  3893.5387 24388.4433
        69  2245.7089 21532.4119
        70  4939.5208 22151.8355
        71  3810.9284 21986.3685
        72  4203.1801 32222.3371
        73  2472.9816 24832.3516
        74  3740.7727 21056.1068
        75  2535.3762 28341.2963
        76  4853.0137 21517.9678
        77  4539.3092 21977.7633
        78   4106.225  33231.405
        79  2587.8416 23774.1311
        80  2714.7946 22343.6043
        81  4978.9011 28338.9113
        82  3848.3036 27209.7502
        83  3546.2529 28274.8872
        84  3637.6564 26158.9407
        85   4724.057  20838.247
        86  4207.4842 21860.4025
        87  4855.4649 24506.7668
        88  4527.5707 24584.1191
        89   4210.958 21216.0541
        90  3825.7447 24070.3095
        91  3984.8735  23529.787
        92    4063.52 22843.2685
        93   3583.606 22959.5916
        94  3750.6729 23347.8994
        95  4271.4635 22001.2574
        96  4960.2454 24522.2156
        97   3547.761 20905.2248
        98  2939.9586 20304.6942
        99  4455.5423 23377.7999
       100   4096.654 21664.8098

       MeasuredPoint                  100
