  Measurement Number     Measurement type
                 123            NewRelaib

      Measurement ID                 Mode
       739694.760318                WGFMU

        SetPulseBias        SetPulseWidth       ResetPulseBias      ResetPulseWidth
                  -3              0.00101                  3.2              0.00101

           Rise time            Fall Time           Separation
               1e-05                1e-05                0.001

              Cycles       Steps in cycle         Test voltage
                 351                10000                   10

      Step        LRS        HRS
       590  1150.3204  2912.0362
       600  1174.5819  3130.3863
       610  1140.5531   3165.436
       620  1160.7056  3177.7883
       630  1172.1488  3102.8395
       640  1153.5606  3358.1106
       650  1107.6864  3261.8872
       660  1148.4251  3168.4636
       670  1084.0053  3564.7646
       680  1037.8157  3224.5515
       690  1049.8541  3565.8845
       700  1097.3931  3314.4244
       710  1054.1229  2941.7499
       720   1075.495  3183.6591
       730   1176.289  3103.3735
       740   1114.088  2759.5922
       750  1086.1688  2770.8264
       760   1050.715  3047.9586
       770   1126.228  2708.9243
       780  1053.9086  2806.5973
       790  1052.4589  3086.1752
       800  1085.9509  3139.7633
       810  1080.3903  3038.7823
       820  1065.1621  3004.2713
       830  1049.6163  2946.0033
       840  1104.4756  3049.0309
       850  1056.3587  2897.0529
       860  1072.0804  3143.0376
       870  1085.7652  3419.1974
       880  1118.9638   2844.623
       890  1067.2296  3486.2069
       900  1044.1843  3555.4658
       910  1067.0803   3664.902
       920  1103.6147  3275.6758
       930  1100.0719  3399.8906
       940   1101.376  3473.1388
       950  1057.4599   3330.767
       960  1123.6195  3590.9226
       970  1139.9515  3354.4782
       980  1119.9924  3222.7711
       990  1109.2636  3502.3791
      1000  1168.2762  3235.6977
      1010  1139.5073  3583.9779
      1020  1164.7337  3411.9144
      1030  1122.2011  3291.9365
      1040   1112.691  3027.3145
      1050  1088.4787   3275.697
      1060  1108.7487  3446.8417
      1070  1067.5577  4230.2916
      1080  1096.5049  3998.8771
      1090  1105.8142  3679.5732
      1100  1094.2716  3540.1532
      1110  1074.3857   3948.244
      1120  1059.5665  3959.4168
      1130  1044.4571  3429.4504
      1140  1086.2552  3640.8736
      1150  1048.7239  4039.8112
      1160  1085.9401  3651.4331
      1170  1047.8975  3862.2656
      1180  1073.0717  4390.2233
      1190  1094.2436  3867.8333
      1200  1067.5213  4141.4773
      1210  1032.5845  3536.6057
      1220  1083.4754  3622.7781
      1230  1040.9724  3737.1389
      1240   933.6616   3800.274
      1250   950.4042  4015.8202
      1260   943.4537  4228.9439
      1270   973.6715  3538.4375
      1280   911.8191  2967.7719
      1290   897.1874  3433.9867
      1300   944.8487  3707.9118
      1310   958.1586  3510.4363
      1320  1009.8594  3537.7114
      1330  1053.3463  4097.0584
      1340  1081.9704  3272.5424
      1350  1061.1162    3379.07
      1360  1104.8721  3627.1481
      1370  1097.3495  3112.6775
      1380    1093.54  3550.6608
      1390  1094.7037    3367.36
      1400  1126.9552   3812.553
      1410  1045.0554  3594.8558
      1420  1183.8664  3283.5108
      1430  1165.9725  3342.2776
      1440    1151.23  3328.1789
      1450  1138.6779  3562.3351
      1460   1030.278  3192.3895
      1470  1098.5012  3759.0166
      1480  1079.6982  3452.5019
      1490  1079.9575  3838.8649
      1500  1143.0542  3346.3749
      1510  1130.8199  3007.2748
      1520  1119.8341  3318.6915
      1530  1148.4379  3328.9134
      1540  1209.5171  3011.9654
      1550   1152.157  3250.3151
      1560  1138.9614  3348.6334
      1570  1127.5111  3408.5722
      1580  1035.1703  3008.2408
      1590  1010.0997  3421.3738
      1600   828.9779  3411.2522
      1610   942.9865  4053.5319
      1620   949.6139  3573.8353
      1630   990.9013  3533.3131
      1640   983.7123  3859.2232
      1650  1125.0442  3616.7727
      1660  1069.8774  3780.2277
      1670  1121.8899  3572.6165
      1680  1113.2275  3041.7224
      1690  1083.3055  3755.5089
      1700  1049.4474  3116.7547
      1710  1019.9167  3265.1868
      1720  1049.3918  3571.8404
      1730  1115.7307  3626.7031
      1740  1105.4166  3351.5493
      1750  1064.0189  3474.9429
      1760   1117.264  3326.0931
      1770  1097.3799  2948.7738
      1780  1108.3936  3133.3399
      1790  1048.7281  3211.1841
      1800  1073.0635  3284.0449
      1810  1042.5169  2908.2095
      1820   1024.046   2930.889
      1830  1013.3966  2536.7663
      1840  1025.4074  2932.2884
      1850  1000.6467   2725.819
      1860  1045.9293  3036.2386
      1870  1045.8142   3540.895
      1880  1048.0735  3518.7599
      1890  1068.4811  3298.7427
      1900  1024.7915  3276.3255
      1910  1008.2861  3313.4164
      1920  1067.3402  3432.8698
      1930  1031.1516  3457.5989
      1940  1095.6515  3781.2206
      1950  1132.5264  3622.9057
      1960  1107.7603  3369.7878
      1970    1032.72  3218.6055
      1980   950.6559  3300.5563
      1990  1039.4927   3137.732
      2000   967.4204  3271.4238
      2010   888.4188  3269.8788
      2020   809.6533  3375.9653
      2030   800.1804  3400.3353
      2040   830.4278  3356.5588
      2050   795.5983   3452.178
      2060   826.3603   3365.936
      2070   784.5331   3387.741
      2080   753.1797   3148.547
      2090    749.427  2775.9066
      2100   779.1386  3006.3688
      2110   783.1323  3217.4087
      2120   815.6598  3540.2906
      2130   781.2043  3757.5952
      2140   801.8095  3126.5808
      2150   755.0974  3276.0628
      2160   767.8985  3206.0401
      2170   766.0027  3228.0079
      2180    770.957  3707.9158
      2190   764.7177  3733.8001
      2200    772.634  3287.8344
      2210   766.5462  4139.0561
      2220   778.6874  3984.9256
      2230   747.4654  3502.1277
      2240   740.6312  3134.8903
      2250   846.0709   3529.654
      2260   971.5527  3956.4815
      2270   943.7275  3801.0283
      2280   786.9131  3799.9307
      2290   676.8321  3891.2535
      2300    670.081   3638.509
      2310   682.8635   3917.381
      2320    701.459  3815.7777
      2330   678.1377  3478.6822
      2340   788.7307  3443.1574
      2350   689.1629  3629.6009
      2360   675.0885   3836.454
      2370   832.6951  3707.4936
      2380   675.5524  3721.7606
      2390   674.0341  3941.8523
      2400   776.1728  4094.5567
      2410    725.485  3815.6342
      2420    734.777   3783.748
      2430   706.5211  3766.5757
      2440    735.663  3280.6603
      2450    746.931  3586.1799
      2460   752.3573  3372.6656
      2470    747.569  3481.9284
      2480   747.9703  3403.5694
      2490   780.9407  3814.1951
      2500   793.9436   3352.896
      2510   818.2263   3265.793
      2520   837.2496  3628.7281
      2530   829.8465  3507.9229
      2540   828.4496  3492.9264
      2550   831.3983  3535.0486
      2560   865.6108  3730.7032
      2570   889.7486  3587.3934
      2580   884.8947  3601.8332
      2590   813.6668  3708.4172
      2600   814.3112  3544.0312
      2610   824.7129  3718.0785
      2620   905.6167  3694.4811
      2630   896.3086  3737.8734
      2640   907.6041  3603.3274
      2650   840.3993  3402.0259
      2660     865.52   3555.747
      2670   906.0178  3508.5629
      2680    876.381  3659.1731
      2690   918.1959  3623.2115
      2700   912.2062  3690.5704
      2710   929.7601  3413.4102
      2720   933.6031  3694.0709
      2730   964.0809   3726.914
      2740   950.1001  3813.4231
      2750   969.1254  3998.0554
      2760   975.1274  3880.4299
      2770   989.3678  3752.7688
      2780   960.6999  3522.8454
      2790   964.0999  3607.4663
      2800   965.3137  3550.3941
      2810   928.1818  3103.4823
      2820   921.2985  3394.3789
      2830    943.669  3228.5719
      2840   935.6299  3063.1006
      2850   929.1444  3713.7242
      2860   919.8733  3123.9462
      2870   926.9749  3422.1507
      2880   958.0272   3455.722
      2890   930.7761   3707.926
      2900   967.1918  2895.1972
      2910   974.0359  2806.8485
      2920   975.3898  2870.1333
      2930   938.8068  2811.4651
      2940   952.8081  2881.7661
      2950   980.5973  2859.3582
      2960   990.5435   3174.386
      2970   978.0026  3153.4929
      2980   937.5374   3521.624
      2990   956.1337  3054.1963
      3000   904.1086  3342.3316
      3010   948.8751  3125.8694
      3020   834.6023  3291.9106
      3030    903.411  3241.6963
      3040   947.1268  3145.3651
      3050   935.1402     3228.2
      3060    878.916   2992.755
      3070   874.2726  3310.2931
      3080   896.1133  3192.5667
      3090   871.4336  3174.7923
      3100   885.6538  3032.9876
      3110   869.8297  3349.1933
      3120   876.8873  2926.1572
      3130   840.5453  2869.2304
      3140   857.9105  3248.0694
      3150   889.9325  2892.0466
      3160   861.4618  2829.1207
      3170     886.14  2827.9387
      3180   811.7973  3007.3184
      3190   804.7691  3126.7447
      3200   843.5725  2770.8617
      3210   841.3012  2764.0833
      3220   866.5345  2572.9176
      3230   863.2969  3142.3255
      3240   870.2962  2976.2305
      3250   837.7652  2968.2017
      3260   842.3364  2895.8409
      3270   859.7113  3102.1463
      3280    842.914  2951.8488
      3290   854.6292  3053.6093
      3300   839.2054  2892.3188
      3310   871.5487  2888.7984
      3320   873.6776  2847.6349
      3330   847.8373  2540.8602
      3340   857.6372  2761.2936
      3350   876.3927  2795.3796
      3360   897.6103  2850.9403
      3370   887.6398  3023.5989
      3380   885.4993  2925.7965
      3390   873.2985  2805.0013
      3400   897.0164   2734.949
      3410   879.6795  2867.9485
      3420   857.2324  2886.8828
      3430    885.361  2987.3825
      3440   871.1449   3036.216
      3450   892.1384  3067.1009
      3460   885.8901  2812.2899
      3470   874.3016   3053.451
      3480   874.3107  2788.8264
      3490   887.4867  2935.3265
      3500   875.5942  2913.7914
      3510   873.6534  2941.0551




