  Measurement Number     Measurement type
                 128            NewRelaib

      Measurement ID                 Mode
       739694.762211                WGFMU

        SetPulseBias        SetPulseWidth       ResetPulseBias      ResetPulseWidth
                -3.5             0.000101                    4             0.000101

           Rise time            Fall Time           Separation
               1e-06                1e-06               0.0001

              Cycles       Steps in cycle         Test voltage
                 517                10000                   10

      Step        LRS        HRS
        10   926.7531  4025.8564
       110   559.7519  5675.4191
       210    710.882  5560.5345
       310   610.7787  6698.8538
       410     620.62  6936.2081
       510    655.941  5318.9149
       610   684.7199   6900.412
       710   744.7652  4372.5907
       810   648.6556  7530.9562
       910   670.4632  6581.8353
      1010   682.4684  4620.5552
      1110   661.8731  5235.0077
      1210   619.7876  4011.4931
      1310   668.9029  6056.5937
      1410   631.8789  4986.6249
      1510   608.1394  4261.7542
      1610   558.0415  4540.9781
      1710   574.8987  4830.0524
      1810   742.8099  4929.4785
      1910   554.5057    3673.98
      2010   696.4837  3519.2158
      2110    556.699  3623.7195
      2210   591.4045  4117.9668
      2310   510.1296  4527.6121
      2410   609.4927  3448.7324
      2510   663.6835  3864.1629
      2610   597.4404   4470.882
      2710   649.8117  4018.3745
      2810   551.4746   2833.548
      2910    416.619   907.8413
      3010   443.1443  2638.6074
      3110   427.3933   946.4369
      3210   568.8417   990.0326
      3310   453.8933   959.2019
      3410    532.348  3746.1612
      3510   461.4335   956.0707
      3610   571.8697  3857.6177
      3710   550.8144  3572.8384
      3810   536.5986  3424.4304
      3910   554.5882  4163.8661
      4010   566.3432  3585.8356
      4110   560.2814  3741.5228
      4210   581.9627  4322.5599
      4310   606.3767   3837.274
      4410   662.8958  3877.3876
      4510   612.3645  3404.3891
      4610   710.0349  3567.1154
      4710   725.4827  3526.8202
      4810   803.8462  3584.7966
      4910   741.4364   3111.588
      5010   754.0604  3740.0955
      5110   800.1671  3094.1078
      5210    756.793  3820.1822
      5310   739.9961  4063.4959
      5410   760.7735  3703.3118
      5510   788.9056  3861.1381
      5610   864.3199  3211.8314
      5710   789.1276  3040.1677
      5810   669.7085   3631.742
      5910   741.9035  3406.0185
      6010   754.3431  3590.0905
      6110   682.3551  4294.7269
      6210    759.922  4041.1421
      6310   768.8231  3504.1013
      6410   608.5163  4102.0931
      6510   622.8837  2883.7633
      6610   689.3253  3729.5049
      6710   661.6199  3831.5308
      6810   681.2829  3835.4059
      6910   658.8331  4403.0881
      7010   663.9438  4111.1876
      7110   665.7084  4003.0944
      7210   642.7468  4127.7929
      7310   626.2044  3831.7201
      7410    684.177  3703.1561
      7510   687.4496  5195.3968
      7610   639.8158  3512.5134
      7710   736.3235  3552.4874
      7810   742.2648  4227.4028
      7910    686.163  4284.4022
      8010    698.906  4515.7015
      8110   737.3872  4169.8089
      8210   702.5101  3850.8078
      8310   723.5961  3471.3186
      8410    723.338  3158.2631
      8510   698.5398  2978.8216
      8610   763.4092  3037.3305
      8710   689.2232  3570.9204
      8810   707.2849  3440.8599
      8910   859.9997  3799.7391
      9010   862.9323  3084.9723
      9110   841.6692  3605.2342
      9210   695.4267  3255.9016
      9310   709.8382  2839.3034
      9410   783.2722  3054.5158
      9510   581.4252  2373.3435
      9610   583.2371   917.2291
      9710   584.1558  1049.4058
      9810   607.0943  1111.9681
      9910   618.3556  1167.2123
     10010   605.3187  1125.5585
     10110   561.6095   906.6331
     10210   565.1339    928.091
     10310   619.0522  1086.5862
     10410   546.9401  2191.4999
     10510   566.6163  2594.7963
     10610   553.4034  2578.9093
     10710   554.2234  2690.0597
     10810     517.59  2551.8467
     10910   535.9685  3408.2777
     11010   521.2347   906.9709
     11110   547.9491  3726.6522
     11210   489.6987   908.6986
     11310   493.2937  1077.1618
     11410    493.717  2710.7205
     11510   545.5782  5111.5132
     11610   551.8995   4843.041
     11710   564.9359   4367.507
     11810   532.8344  4994.7104
     11910   537.1425  5003.8743
     12010   564.5278  4479.3247
     12110   514.4942  5210.9864
     12210   548.0714  5533.5349
     12310   556.9004  4979.2082
     12410   573.6018  5075.1024
     12510   567.3114  4443.7506
     12610   551.0137  5498.9217
     12710    519.335  5200.3591
     12810    622.591  5771.9433
     12910   567.8488  4745.2257
     13010   547.4105  5312.0031
     13110   489.6855  4745.3646
     13210   481.5029  4825.7581
     13310    483.465  5365.0169
     13410   480.5676  4281.9552
     13510   459.2987  4112.5379
     13610    473.672  4519.0753
     13710   493.2766  4729.5509
     13810   507.0074  4708.8603
     13910   508.4026  4261.3955
     14010   512.3422  4150.0658
     14110   430.9774  4110.6833
     14210   501.7676  5042.1397
     14310   502.7242  5464.1033
     14410   477.8118  5620.6961
     14510   465.6791  4703.6657
     14610   534.2571  3460.6161
     14710   485.9511  4582.6089
     14810   489.5232  4707.9069
     14910   465.4359  4686.2786
     15010   481.5517  4318.8302
     15110   476.6339  4682.8286
     15210   471.4158  5780.0581
     15310   454.4406  4456.0185
     15410   469.1301  5199.5296
     15510   501.8149   4840.177
     15610   477.1573  3806.3773
     15710   546.4757  6248.4549
     15810    530.992  5077.0408
     15910   521.7866  4373.8368
     16010   512.9155  4191.3498
