  Measurement Number     Measurement type
                  13            NewRelaib

      Measurement ID                 Mode
       739694.774818                WGFMU

        SetPulseBias        SetPulseWidth       ResetPulseBias      ResetPulseWidth
                  -3             0.000101                    3             0.000101

           Rise time            Fall Time           Separation
               1e-06                1e-06               0.0001

              Cycles       Steps in cycle         Test voltage
                 100                  100                    1

      Step        LRS        HRS
         1  1114.9548 217339.8453
         2  1575.7207 323282.9404
         3  1366.9305 1222164.3783
         4  1968.5159 278284.527
         5  3641.5478 267962.1717
         6  3285.3343 445867.1966
         7   2515.724 341047.5206
         8  2515.6992 321941.4394
         9  3410.1452 255236.7381
        10  3532.6101 376606.212
        11  1936.1076 339975.3185
        12  1749.9621 370276.1257
        13  3534.7304 283299.2243
        14  1216.4556  1727.0298
        15  1176.5573 280537.7562
        16  1688.9131 428417.8196
        17  1361.7251 1289743.6584
        18  1145.4746 291157.7756
        19  4617.1569 400080.8623
        20  4074.0678 245306.5955
        21  3384.2934 280559.7683
        22  1998.8151 309274.7051
        23  2017.0354 273255.7922
        24  1795.5356 492101.5638
        25  1877.6721 374197.4376
        26  2021.7982 359605.0332
        27  1326.2813 281267.3879
        28   1518.611 1190366.9829
        29  1863.6357 241684.9556
        30    1840.84 448106.4505
        31  1967.8278 1147129.5489
        32  1932.8337 376924.4551
        33  1997.0646 365835.0684
        34  1344.4011 290021.9849
        35   1813.155 397098.1005
        36  1777.5283  265431.05
        37   4334.717 439011.0947
        38   4034.203 324016.7956
        39  3982.7069 381558.919
        40   1943.448 308980.1635
        41   1357.125 339587.0726
        42  1523.3606 348848.5906
        43  1774.0865 310782.9309
        44  2021.0243 324399.6649
        45  4367.0315 315536.7045
        46  1631.3734 601503.6216
        47   1189.917 256116.031
        48  1137.3458 295130.6977
        49  2093.8243 266800.2946
        50  1907.6986 293480.3027
        51   992.0694 454556.0871
        52  1789.9054 287916.154
        53  1938.2526 275045.8912
        54  2803.1825 339619.3794
        55   2695.276 422934.3904
        56  4111.2209 362343.3887
        57  2584.4413 390109.4646
        58   2224.601 366888.1301
        59  1408.0087 282648.5153
        60  2737.0049 238662.4857
        61  2881.4419  297566.98
        62     1527.9 293625.2164
        63  1218.3843 316151.7103
        64  2982.2068 336259.3637
        65  2658.3203 852537.1554
        66  7878.6836 490410.9407
        67  2734.5827 284473.5188
        68  2198.8474 886198.3643
        69  2967.8694 263199.4197
        70  3454.7486 270275.6863
        71  1762.3721 318408.348
        72 10720.6132 507930.6458
        73  6500.8161 268486.3544
        74  6869.1329 442165.9055
        75  6029.7311 424544.4845
        76  6905.9136 759787.4744
        77  5819.5657 245070.7483
        78 10175.0637 357193.5081
        79  4769.2125 346679.6911
        80  5435.8469 243432.5122
        81  2971.7422 431421.7808
        82  4783.0512 231554.6901
        83  2274.1539 381355.0492
        84  4854.8804 273444.2388
        85  4834.8197 394333.7857
        86 10364.7268  321361.62
        87  9589.8806 305776.7636
        88  8800.3782 260376.4983
        89  1850.6275 346108.1277
        90  9429.0865 379731.8999
        91  5144.0053 323048.8519
        92  9565.1536 415450.6043
        93  5329.0413 306354.2771
        94  2516.5472 338813.3393
        95  1962.3892 292589.9882
        96  8366.7313 48173.2214
        97  5394.3042 660629.4135
        98  4108.9486 350389.8553
        99  1630.6502 339490.1889
       100  1736.0639 260262.6004




