  Measurement Number     Measurement type
                  12               OnLine

      Measurement ID                     
       739956.528254                     

          Force Mode                Value         MeasureRange
             Voltage                    0         1.000000e-05

    Supply Complince     Integrating time     Refresh interval
        1.000000e-04                    0                    0

        Time      Voltage      Current  Temperature
1.1300e+01   1.0003e+00   8.1500e-07             NA
1.1400e+01   1.0003e+00   7.8000e-07             NA
1.1499e+01   1.0003e+00   7.6500e-07             NA
1.1600e+01   1.0003e+00   8.1500e-07             NA
1.1699e+01   1.0003e+00   7.9500e-07             NA
1.1800e+01   1.0003e+00   7.6500e-07             NA
1.1899e+01   1.0003e+00   7.8000e-07             NA
1.2000e+01   1.0003e+00   7.6500e-07             NA
1.2100e+01   1.0003e+00   7.7000e-07             NA
1.2200e+01   1.0003e+00   7.8500e-07             NA
1.2299e+01   1.0003e+00   7.3500e-07             NA
1.2400e+01   1.0003e+00   7.7000e-07             NA
1.2499e+01   1.0003e+00   8.0500e-07             NA
1.2600e+01   1.0003e+00   7.9000e-07             NA
1.2700e+01   1.0003e+00   7.6000e-07             NA
1.2800e+01   1.0003e+00   7.7500e-07             NA
1.2901e+01   1.0002e+00   7.9500e-07             NA
1.3000e+01   1.0003e+00   7.8000e-07             NA
1.3099e+01   1.0003e+00   7.7000e-07             NA
1.3200e+01   1.0003e+00   7.4500e-07             NA
1.3299e+01   1.0003e+00   7.7500e-07             NA
1.3400e+01   1.0003e+00   7.8500e-07             NA
1.3500e+01   1.0003e+00   8.0000e-07             NA
1.3600e+01   1.0003e+00   7.9500e-07             NA
1.3700e+01   1.0003e+00   8.1500e-07             NA
1.3799e+01   1.0003e+00   8.2500e-07             NA
1.3899e+01   1.0003e+00   8.4500e-07             NA
1.3999e+01   1.0003e+00   8.6000e-07             NA
1.4100e+01   1.0003e+00   8.5000e-07             NA
1.4199e+01   1.0003e+00   8.5000e-07             NA
1.4300e+01   1.0003e+00   8.4000e-07             NA
1.4401e+01   1.0003e+00   8.5500e-07             NA
1.4499e+01   1.0003e+00   8.3000e-07             NA
1.4599e+01   1.0003e+00   9.1000e-07             NA
1.4700e+01   1.0003e+00   8.7500e-07             NA
1.4800e+01   1.0003e+00   8.4000e-07             NA
1.4900e+01   1.0003e+00   8.4000e-07             NA
1.5000e+01   1.0003e+00   8.4000e-07             NA
1.5100e+01   1.0003e+00   8.0500e-07             NA
1.5199e+01   1.0003e+00   7.9000e-07             NA
1.5300e+01   1.0003e+00   8.4500e-07             NA
1.5399e+01   1.0003e+00   8.2000e-07             NA
1.5500e+01   1.0003e+00   8.5000e-07             NA
1.5600e+01   1.0003e+00   8.2500e-07             NA
1.5700e+01   1.0003e+00   8.2500e-07             NA
1.5800e+01   1.0003e+00   8.3000e-07             NA
1.5900e+01   1.0003e+00   8.6000e-07             NA
1.5999e+01   1.0003e+00   8.0500e-07             NA
1.6099e+01   1.0003e+00   7.9500e-07             NA
1.6199e+01   1.0003e+00   8.0500e-07             NA
1.6299e+01   1.0003e+00   7.9000e-07             NA
1.6400e+01   1.0003e+00   8.0500e-07             NA
1.6499e+01   1.0003e+00   8.0500e-07             NA
1.6600e+01   1.0003e+00   8.5500e-07             NA
1.6700e+01   1.0003e+00   8.3500e-07             NA
1.6800e+01   1.0003e+00   8.5000e-07             NA
1.6899e+01   1.0003e+00   8.5000e-07             NA
1.7000e+01   1.0003e+00   8.0500e-07             NA
1.7099e+01   1.0003e+00   8.4000e-07             NA
1.7199e+01   1.0003e+00   7.2500e-07             NA
1.7300e+01   1.0003e+00   7.3500e-07             NA
1.7400e+01   1.0003e+00   8.0000e-07             NA
1.7500e+01   1.0003e+00   8.2500e-07             NA
1.7600e+01   1.0003e+00   8.5000e-07             NA
1.7699e+01   1.0003e+00   8.7000e-07             NA
1.7799e+01   1.0003e+00   8.9000e-07             NA
1.7900e+01   1.0003e+00   8.4500e-07             NA
1.7999e+01   1.0003e+00   8.5000e-07             NA
1.8100e+01   1.0003e+00   8.6000e-07             NA
1.8200e+01   1.0003e+00   8.8000e-07             NA
1.8299e+01   1.0003e+00   8.9000e-07             NA
1.8399e+01   1.0003e+00   8.9000e-07             NA
1.8500e+01   1.0003e+00   8.8000e-07             NA
1.8599e+01   1.0003e+00   8.9500e-07             NA
1.8700e+01   1.0003e+00   8.7500e-07             NA
1.8802e+01   1.0003e+00   8.8500e-07             NA
1.8900e+01   1.0003e+00   8.9500e-07             NA
1.8999e+01   1.0003e+00   7.7500e-07             NA
1.9100e+01   1.0003e+00   8.2500e-07             NA
1.9199e+01   1.0003e+00   7.6000e-07             NA
1.9299e+01   1.0003e+00   7.7000e-07             NA
1.9400e+01   1.0003e+00   8.0500e-07             NA
1.9500e+01   1.0003e+00   8.4000e-07             NA
1.9600e+01   1.0003e+00   7.7000e-07             NA
1.9699e+01   1.0003e+00   7.8500e-07             NA
1.9799e+01   1.0003e+00   8.0000e-07             NA
1.9899e+01   1.0003e+00   8.4500e-07             NA
2.0000e+01   1.0003e+00   7.8500e-07             NA
2.0099e+01   1.0003e+00   7.9000e-07             NA
2.0200e+01   1.0003e+00   7.8000e-07             NA
2.0300e+01   1.0003e+00   8.1000e-07             NA
2.0399e+01   1.0003e+00   7.6500e-07             NA
2.0499e+01   1.0003e+00   7.7000e-07             NA
2.0600e+01   1.0003e+00   8.0500e-07             NA
2.0699e+01   1.0003e+00   7.9000e-07             NA
2.0799e+01   1.0003e+00   7.5500e-07             NA
2.0900e+01   1.0003e+00   7.7500e-07             NA
2.1000e+01   1.0003e+00   7.6500e-07             NA
2.1100e+01   1.0003e+00   7.7000e-07             NA
2.1200e+01   1.0003e+00   7.7000e-07             NA
2.1299e+01   1.0003e+00   7.9000e-07             NA
2.1399e+01   1.0003e+00   7.7500e-07             NA
2.1500e+01   1.0003e+00   7.5500e-07             NA
2.1599e+01   1.0003e+00   7.3000e-07             NA
2.1700e+01   1.0003e+00   7.9000e-07             NA
2.1800e+01   1.0003e+00   7.7500e-07             NA
2.1900e+01   1.0003e+00   7.7000e-07             NA
2.1999e+01   1.0003e+00   8.0500e-07             NA
2.2100e+01   1.0003e+00   7.8000e-07             NA
2.2199e+01   1.0003e+00   8.3000e-07             NA
2.2300e+01   1.0003e+00   8.3000e-07             NA
2.2400e+01   1.0003e+00   8.1500e-07             NA
2.2500e+01   1.0003e+00   8.4000e-07             NA
2.2599e+01   1.0003e+00   8.3500e-07             NA
2.2700e+01   1.0003e+00   8.4500e-07             NA
2.2799e+01   1.0003e+00   8.2000e-07             NA
2.2899e+01   1.0003e+00   7.6500e-07             NA
2.3000e+01   1.0003e+00   8.4500e-07             NA
2.3099e+01   1.0003e+00   8.2500e-07             NA
2.3200e+01   1.0003e+00   7.5500e-07             NA
2.3301e+01   1.0003e+00   7.5500e-07             NA
2.3399e+01   1.0003e+00   8.1000e-07             NA
2.3499e+01   1.0003e+00   8.3000e-07             NA
2.3600e+01   1.0003e+00   8.3000e-07             NA
2.3699e+01   1.0003e+00   7.7000e-07             NA
2.3800e+01   1.0003e+00   8.6500e-07             NA
2.3900e+01   1.0003e+00   8.4000e-07             NA
2.3999e+01   1.0003e+00   8.4500e-07             NA
2.4100e+01   1.0003e+00   8.6500e-07             NA
2.4199e+01   1.0003e+00   8.8500e-07             NA
2.4300e+01   1.0003e+00   9.1000e-07             NA
2.4400e+01   1.0003e+00   8.6500e-07             NA
2.4499e+01   1.0003e+00   8.5500e-07             NA
2.4600e+01   1.0003e+00   8.9500e-07             NA
2.4700e+01   1.0003e+00   8.7000e-07             NA
2.4799e+01   1.0003e+00   8.4000e-07             NA
2.4899e+01   1.0003e+00   8.2500e-07             NA
2.5000e+01   1.0003e+00   8.1500e-07             NA
2.5099e+01   1.0003e+00   8.0500e-07             NA
2.5200e+01   1.0003e+00   8.0000e-07             NA
2.5300e+01   1.0003e+00   8.2500e-07             NA
2.5400e+01   1.0003e+00   8.2000e-07             NA
