Positive pulse time array: 
0.000e+00,1.000e-07,1.000e-07,2.000e-07,1.000e-07,5.000e-06,1.000e-07,1.000e-07,
 
Positive pulse voltage array: 
0.000,0.000,1.800,1.800,-0.500,-0.500,0.000,0.000,
 
Negative pulse time array: 
0.000e+00,1.000e-07,1.000e-07,2.000e-07,1.000e-07,5.000e-06,1.000e-07,1.000e-07,
 
Negative pulse voltage array: 
0.000,0.000,-1.600,-1.600,-0.500,-0.500,0.000,0.000,
 
Positive repetition, Negative repetition, ?ycles: 
20.0,20.0,2.0

Time,Voltage,Current
1e-08,-0.00310453,-3.98381e-06
3e-08,-0.00454463,-4.33583e-06
5e-08,-0.00238447,-5.18069e-06
7e-08,-0.00382458,-4.37104e-06
9e-08,-0.00490465,-2.96295e-06
1.1e-07,0.0721408,-3.66699e-06
1.3e-07,0.391844,-7.06918e-05
1.5e-07,0.741069,-0.000429648
1.7e-07,1.11117,-0.00101971
1.9e-07,1.47948,-0.00114348
2.1e-07,1.76498,-0.00114348
2.3e-07,1.80818,-0.00114348
2.5e-07,1.82259,-0.00114348
2.7e-07,1.82187,-0.00114348
2.9e-07,1.81611,-0.00114348
3.1e-07,1.81827,-0.00114348
3.3e-07,1.82043,-0.00114348
3.5e-07,1.81971,-0.00114348
3.7e-07,1.81863,-0.00114348
3.9e-07,1.81719,-0.00114348
4.1e-07,1.72466,-0.00114348
4.3e-07,1.31351,-0.00114348
4.5e-07,0.864917,-0.00109289
4.7e-07,0.397244,-0.000272259
4.9e-07,-0.0736696,0.000868852
5.1e-07,-0.444496,0.00115339
5.3e-07,-0.49994,0.00115339
5.5e-07,-0.520461,0.00115339
5.7e-07,-0.514701,0.00115339
5.9e-07,-0.50786,0.00115339
6.1e-07,-0.508941,0.00115339
6.3e-07,-0.510381,0.00115339
6.5e-07,-0.50642,0.000969319
6.7e-07,-0.50426,0.000629197
6.9e-07,-0.5057,0.000419322
7.1e-07,-0.5057,0.000302169
7.3e-07,-0.50354,0.000256441
7.5e-07,-0.50534,0.000257779
7.7e-07,-0.50282,0.000276331
7.9e-07,-0.50462,0.000303683
8.1e-07,-0.50534,0.000331035
8.3e-07,-0.50786,0.000351276
8.5e-07,-0.50534,0.000367011
8.7e-07,-0.50642,0.000376058
8.9e-07,-0.50714,0.00037898
9.1e-07,-0.508581,0.000378839
9.3e-07,-0.50714,0.000376129
9.5e-07,-0.508221,0.000373559
9.7e-07,-0.508581,0.000370813
9.9e-07,-0.50786,0.000367821
1.01e-06,-0.508941,0.000365321
1.03e-06,-0.509661,0.000364019
1.05e-06,-0.5075,0.00036335
1.07e-06,-0.508941,0.000362893
1.09e-06,-0.510021,0.000362752
1.11e-06,-0.5075,0.000361062
1.13e-06,-0.510381,0.000360323
1.15e-06,-0.50642,0.000359654
1.17e-06,-0.510741,0.000359232
1.19e-06,-0.510741,0.000358563
1.21e-06,-0.509661,0.000358563
1.23e-06,-0.510741,0.000358281
1.25e-06,-0.5075,0.000358281
1.27e-06,-0.509301,0.000356697
1.29e-06,-0.509661,0.000356767
1.31e-06,-0.509301,0.000357753
