Positive pulse time array: 
0.000e+00,1.000e-07,1.000e-07,2.000e-07,1.000e-07,5.000e-06,1.000e-07,1.000e-07,
 
Positive pulse voltage array: 
0.000,0.000,2.050,2.050,-0.500,-0.500,0.000,0.000,
 
Negative pulse time array: 
0.000e+00,1.000e-07,1.000e-07,2.000e-07,1.000e-07,5.000e-06,1.000e-07,1.000e-07,
 
Negative pulse voltage array: 
0.000,0.000,-1.800,-1.800,-0.500,-0.500,0.000,0.000,
 
Positive repetition, Negative repetition, ?ycles: 
20.0,20.0,2.0

Time,Voltage,Current
3.05e-06,-0.511101,0.00036335
3.07e-06,-0.511101,0.000363174
3.09e-06,-0.510741,0.000362717
3.11e-06,-0.508581,0.000362928
3.13e-06,-0.511101,0.000361836
3.15e-06,-0.510381,0.000362752
3.17e-06,-0.510381,0.000363949
3.19e-06,-0.510741,0.000364688
3.21e-06,-0.512541,0.000364582
3.23e-06,-0.510381,0.000364829
3.25e-06,-0.511461,0.000364512
3.27e-06,-0.511101,0.000363561
3.29e-06,-0.511101,0.000363033
3.31e-06,-0.511101,0.000362928
3.33e-06,-0.513621,0.000363667
3.35e-06,-0.509661,0.000364758
3.37e-06,-0.509301,0.000364054
3.39e-06,-0.510381,0.000363984
3.41e-06,-0.511461,0.00036416
3.43e-06,-0.511821,0.000364547
3.45e-06,-0.511461,0.000363878
3.47e-06,-0.511461,0.000362822
3.49e-06,-0.512181,0.00036328
3.51e-06,-0.510021,0.000363209
3.53e-06,-0.510021,0.000363315
3.55e-06,-0.510021,0.000363069
3.57e-06,-0.511461,0.000362329
3.59e-06,-0.511101,0.000362224
3.61e-06,-0.511101,0.00036328
3.63e-06,-0.510741,0.000364089
3.65e-06,-0.511101,0.000365286
3.67e-06,-0.510741,0.000365674
3.69e-06,-0.511101,0.000364617
3.71e-06,-0.509661,0.000363421
3.73e-06,-0.512541,0.000363702
3.75e-06,-0.510021,0.000363104
3.77e-06,-0.510381,0.000362857
3.79e-06,-0.512901,0.000363033
3.81e-06,-0.511461,0.000363385
3.83e-06,-0.509661,0.000363808
3.85e-06,-0.512181,0.000363843
3.87e-06,-0.509301,0.000364019
3.89e-06,-0.509661,0.000363702
3.91e-06,-0.510741,0.000363069
3.93e-06,-0.510381,0.000363526
3.95e-06,-0.510021,0.000363491
3.97e-06,-0.511101,0.000364617
3.99e-06,-0.511821,0.00036511
4.01e-06,-0.511461,0.000365321
4.03e-06,-0.510381,0.000364336
4.05e-06,-0.510381,0.00036328
4.07e-06,-0.511101,0.00036247
4.09e-06,-0.509301,0.000362611
4.11e-06,-0.512541,0.000361449
4.13e-06,-0.512181,0.00036071
4.15e-06,-0.512541,0.000361731
4.17e-06,-0.511821,0.000363773
4.19e-06,-0.511101,0.000364441
4.21e-06,-0.511101,0.000365885
4.23e-06,-0.511461,0.000365955
4.25e-06,-0.512541,0.000364301
4.27e-06,-0.511101,0.000363737
4.29e-06,-0.510021,0.000362576
4.31e-06,-0.510381,0.000362857
4.33e-06,-0.510741,0.000362435
4.35e-06,-0.510381,0.000362188
4.37e-06,-0.510741,0.000362541
4.39e-06,-0.511821,0.000363843
4.41e-06,-0.510741,0.000364512
4.43e-06,-0.511461,0.000364723
4.45e-06,-0.511461,0.000363808
4.47e-06,-0.511101,0.000362365
4.49e-06,-0.510021,0.000363174
4.51e-06,-0.510741,0.000363104
4.53e-06,-0.510741,0.000362963
4.55e-06,-0.510741,0.000363913
4.57e-06,-0.510741,0.000363139
4.59e-06,-0.510741,0.000362893
4.61e-06,-0.509301,0.000361696
4.63e-06,-0.510741,0.000360534
4.65e-06,-0.511821,0.000361625
4.67e-06,-0.510021,0.000362153
4.69e-06,-0.511461,0.000362118
4.71e-06,-0.511101,0.000363174
4.73e-06,-0.510741,0.000363456
4.75e-06,-0.511821,0.000363139
4.77e-06,-0.511461,0.000363491
4.79e-06,-0.509661,0.000363174
4.81e-06,-0.510381,0.000363033
4.83e-06,-0.510381,0.000361977
4.85e-06,-0.510381,0.00036159
4.87e-06,-0.511821,0.000361907
4.89e-06,-0.510021,0.000362611
4.91e-06,-0.510381,0.000363667
4.93e-06,-0.512181,0.000363526
4.95e-06,-0.511821,0.000362365
4.97e-06,-0.510021,0.000361836
4.99e-06,-0.509301,0.000362365
5.01e-06,-0.512181,0.000363139
5.03e-06,-0.511821,0.000362963
5.05e-06,-0.510741,0.000363209
5.07e-06,-0.511461,0.000364089
5.09e-06,-0.511101,0.00036511
5.11e-06,-0.510741,0.000363984
5.13e-06,-0.513261,0.000363421
5.15e-06,-0.510381,0.000362188
5.17e-06,-0.509301,0.000361625
5.19e-06,-0.510741,0.00036152
5.21e-06,-0.510381,0.000361625
5.23e-06,-0.509301,0.000361731
5.25e-06,-0.509301,0.000362224
5.27e-06,-0.510381,0.000361977
5.29e-06,-0.511101,0.000361942
5.31e-06,-0.510381,0.000362752
5.33e-06,-0.511821,0.000363491
5.35e-06,-0.511101,0.000362963
5.37e-06,-0.508941,0.000362259
5.39e-06,-0.508581,0.000361731
5.41e-06,-0.510021,0.000361203
5.43e-06,-0.509661,0.000361414
5.45e-06,-0.511461,0.000362224
5.47e-06,-0.512181,0.000363843
5.49e-06,-0.508581,0.000363843
5.51e-06,-0.492019,0.000361977
5.53e-06,-0.400213,0.00034163
5.55e-06,-0.301926,0.000233454
5.57e-06,-0.200399,3.57594e-05
5.59e-06,-0.0981513,-0.000208156
5.61e-06,-0.0171455,-0.00043968
5.63e-06,-0.00526468,-0.000620302
5.65e-06,-0.0027445,-0.000680216
5.67e-06,-0.0013044,-0.000613966
5.69e-06,-0.00706481,-0.000474354
5.71e-06,-0.00454463,-0.00032735
5.73e-06,-0.00382458,-0.000198968
5.75e-06,-0.00346455,-9.61429e-05
5.77e-06,-0.00562471,-2.59851e-05
5.79e-06,-0.00670478,1.22444e-05
5.81e-06,0.0786213,2.93878e-05
5.83e-06,0.446207,-4.88665e-05
5.85e-06,0.844036,-0.000493962
5.87e-06,1.26239,-0.00109771
5.89e-06,1.68326,-0.00114348
5.91e-06,2.01124,-0.00114348
5.93e-06,2.05948,-0.00114348
5.95e-06,2.07748,-0.00114348
5.97e-06,2.07568,-0.00114348
5.99e-06,2.06848,-0.00114348
6.01e-06,2.0728,-0.00114348
6.03e-06,2.07172,-0.00114348
6.05e-06,2.06884,-0.00114348
6.07e-06,2.07172,-0.00114348
6.09e-06,2.071,-0.00114348
6.11e-06,1.9648,-0.00114348
6.13e-06,1.51008,-0.00114348
6.15e-06,1.01289,-0.00113876
6.17e-06,0.494451,-0.00039434
6.19e-06,-0.0293864,0.000857834
6.21e-06,-0.438016,0.00115339
6.23e-06,-0.4985,0.00115339
6.25e-06,-0.519021,0.00115339
6.27e-06,-0.512901,0.00115339
6.29e-06,-0.50534,0.00115339
6.31e-06,-0.508941,0.00115339
6.33e-06,-0.5075,0.00115339
6.35e-06,-0.5075,0.00105384
6.37e-06,-0.50606,0.000701431
6.39e-06,-0.50642,0.000465894
6.41e-06,-0.50534,0.000332689
6.43e-06,-0.50498,0.000275204
6.45e-06,-0.5057,0.000269396
6.47e-06,-0.50606,0.000283829
6.49e-06,-0.50534,0.000308787
6.51e-06,-0.50642,0.000335928
6.53e-06,-0.50534,0.000357366
6.55e-06,-0.508221,0.000372538
6.57e-06,-0.508221,0.00037979
6.59e-06,-0.5075,0.000382711
6.61e-06,-0.5057,0.000382395
6.63e-06,-0.5075,0.000380036
6.65e-06,-0.508581,0.000378311
6.67e-06,-0.509661,0.000375072
6.69e-06,-0.508581,0.0003712
6.71e-06,-0.50786,0.000368419
6.73e-06,-0.508581,0.000367504
6.75e-06,-0.508221,0.000365145
6.77e-06,-0.510381,0.000364125
6.79e-06,-0.510381,0.000364054
6.81e-06,-0.508581,0.000363245
6.83e-06,-0.508581,0.000361625
6.85e-06,-0.5075,0.000361625
6.87e-06,-0.508941,0.000361379
6.89e-06,-0.508221,0.000360745
6.91e-06,-0.508941,0.000360428
6.93e-06,-0.510741,0.000360428
6.95e-06,-0.509301,0.000360393
6.97e-06,-0.508941,0.000360182
6.99e-06,-0.512181,0.000359408
7.01e-06,-0.508941,0.00035902
7.03e-06,-0.511821,0.000359337
7.05e-06,-0.509301,0.000358281
7.07e-06,-0.511101,0.000357612
7.09e-06,-0.511101,0.00035719
7.11e-06,-0.510381,0.000357823
7.13e-06,-0.50678,0.000358211
7.15e-06,-0.509301,0.000358211
7.17e-06,-0.510381,0.000358844
7.19e-06,-0.50786,0.000357964
7.21e-06,-0.508941,0.000357225
7.23e-06,-0.509301,0.000356169
7.25e-06,-0.510381,0.000355923
7.27e-06,-0.511101,0.00035631
7.29e-06,-0.508941,0.000356732
7.31e-06,-0.511461,0.000356486
7.33e-06,-0.511101,0.000355958
7.35e-06,-0.511821,0.00035543
7.37e-06,-0.510741,0.000355606
7.39e-06,-0.511821,0.000355817
7.41e-06,-0.510021,0.000356275
7.43e-06,-0.510021,0.000356134
7.45e-06,-0.510741,0.000355183
7.47e-06,-0.510021,0.000354585
7.49e-06,-0.508581,0.00035293
7.51e-06,-0.510021,0.000353212
7.53e-06,-0.509661,0.00035381
7.55e-06,-0.50714,0.000354937
7.57e-06,-0.508581,0.000355535
7.59e-06,-0.509661,0.000355711
7.61e-06,-0.510021,0.00035381
7.63e-06,-0.509301,0.000353353
7.65e-06,-0.508221,0.000356028
7.67e-06,-0.509661,0.000356803
7.69e-06,-0.510381,0.000354585
7.71e-06,-0.510021,0.000354831
7.73e-06,-0.512181,0.000356591
7.75e-06,-0.511101,0.000355078
7.77e-06,-0.509661,0.000353212
7.79e-06,-0.509301,0.000351487
7.81e-06,-0.511461,0.000352015
7.83e-06,-0.511821,0.000352473
7.85e-06,-0.508581,0.000354268
7.87e-06,-0.512181,0.00035455
7.89e-06,-0.510021,0.000353353
