Positive pulse time array: 
0.000e+00,1.000e-07,1.000e-06,1.000e-07,1.000e-06,5.000e-06,1.000e-07,1.000e-07,
 
Positive pulse voltage array: 
0.000,0.000,1.900,1.900,-0.500,-0.500,0.000,0.000,
 
Negative pulse time array: 
0.000e+00,1.000e-07,1.000e-06,1.000e-06,1.000e-07,5.000e-06,1.000e-07,1.000e-07,
 
Negative pulse voltage array: 
0.000,0.000,-1.500,-1.500,-0.500,-0.500,0.000,0.000,
 
Positive repetition, Negative repetition, ?ycles: 
40.0,40.0,2.0

Time,Voltage,Current
5e-09,-0.00310453,-1.23805e-06
1.5e-08,-0.00454463,-2.0829e-06
2.5e-08,-0.00382458,-2.29411e-06
3.5e-08,-0.00310453,-2.36452e-06
4.5e-08,-0.000944372,-2.78694e-06
5.5e-08,-0.00310453,-3.06856e-06
6.5e-08,-0.00238447,-2.36452e-06
7.5e-08,-0.00526468,-2.1533e-06
8.5e-08,-0.00382458,-2.57573e-06
9.5e-08,-0.00382458,-3.20937e-06
1.05e-07,-0.000944372,-3.20937e-06
1.15e-07,0.0105764,-2.36452e-06
1.25e-07,0.0300178,-3.91341e-06
1.35e-07,0.045859,-1.06018e-05
1.45e-07,0.0645803,-2.29225e-05
1.55e-07,0.0861818,-3.81299e-05
1.65e-07,0.107063,-5.54493e-05
1.75e-07,0.125065,-7.36136e-05
1.85e-07,0.145226,-9.02994e-05
1.95e-07,0.165387,-0.000105929
2.05e-07,0.183389,-0.000119799
2.15e-07,0.20643,-0.000134232
2.25e-07,0.222272,-0.000147468
2.35e-07,0.238833,-0.000159929
2.45e-07,0.259714,-0.000171194
2.55e-07,0.275555,-0.000181543
2.65e-07,0.296437,-0.000192526
2.75e-07,0.318758,-0.000202242
2.85e-07,0.3382,-0.000212099
2.95e-07,0.357641,-0.000222166
3.05e-07,0.373482,-0.000232586
3.15e-07,0.395804,-0.000242372
3.25e-07,0.413805,-0.000252229
3.35e-07,0.433247,-0.000262367
3.45e-07,0.451248,-0.000272013
3.55e-07,0.471409,-0.000280954
3.65e-07,0.488691,-0.000290599
3.75e-07,0.507412,-0.000299963
3.85e-07,0.529733,-0.000310453
3.95e-07,0.550615,-0.000321225
4.05e-07,0.569336,-0.000331997
4.15e-07,0.585177,-0.000341924
4.25e-07,0.605339,-0.000352625
4.35e-07,0.62334,-0.000362482
4.45e-07,0.644942,-0.000372972
4.55e-07,0.660783,-0.000382829
4.65e-07,0.683104,-0.00039346
4.75e-07,0.701106,-0.000404936
4.85e-07,0.719827,-0.000415778
4.95e-07,0.740709,-0.000426057
5.05e-07,0.75871,-0.000436266
5.15e-07,0.776711,-0.000446967
5.25e-07,0.797593,-0.000457598
5.35e-07,0.818474,-0.000468018
5.45e-07,0.837915,-0.000479212
5.55e-07,0.858077,-0.000490688
5.65e-07,0.873198,-0.000501319
5.75e-07,0.892639,-0.00051195
5.85e-07,0.912081,-0.000522018
5.95e-07,0.936562,-0.000532086
6.05e-07,0.953124,-0.000542083
6.15e-07,0.972565,-0.000552644
6.25e-07,0.990566,-0.000564049
6.35e-07,1.01145,-0.000575525
6.45e-07,1.02873,-0.000586086
6.55e-07,1.04745,-0.000596717
6.65e-07,1.06689,-0.000606785
6.75e-07,1.08633,-0.000617416
6.85e-07,1.10721,-0.000627906
6.95e-07,1.12594,-0.000638255
7.05e-07,1.14682,-0.000649027
7.15e-07,1.16482,-0.000659869
7.25e-07,1.17922,-0.000671275
7.35e-07,1.20226,-0.000682469
7.45e-07,1.22098,-0.000693663
7.55e-07,1.24186,-0.000705562
7.65e-07,1.26059,-0.000717601
7.75e-07,1.28003,-0.000729429
7.85e-07,1.29875,-0.000740553
7.95e-07,1.31603,-0.000751536
8.05e-07,1.33691,-0.000761674
8.15e-07,1.35419,-0.000772375
8.25e-07,1.37579,-0.000782443
8.35e-07,1.39596,-0.000793426
8.45e-07,1.41468,-0.000804198
8.55e-07,1.43268,-0.000814759
8.65e-07,1.45284,-0.000825319
8.75e-07,1.47228,-0.000837147
8.85e-07,1.48884,-0.000849398
8.95e-07,1.5126,-0.000860381
9.05e-07,1.52844,-0.000871505
9.15e-07,1.54789,-0.000883051
9.25e-07,1.56733,-0.000893964
9.35e-07,1.58893,-0.000904876
9.45e-07,1.60909,-0.000916986
9.55e-07,1.62493,-0.000929166
9.65e-07,1.64437,-0.000939445
9.75e-07,1.66525,-0.000950287
9.85e-07,1.68182,-0.000962326
9.95e-07,1.70342,-0.000973943
1.005e-06,1.7207,-0.000985911
1.015e-06,1.74302,-0.000998021
1.025e-06,1.7603,-0.00100964
1.035e-06,1.78118,-0.00102125
1.045e-06,1.79918,-0.00103329
1.055e-06,1.82007,-0.00104554
1.065e-06,1.84095,-0.0010566
1.075e-06,1.85967,-0.0010685
1.085e-06,1.87911,-0.00108046
1.095e-06,1.89855,-0.00109201
1.105e-06,1.91439,-0.00110236
1.115e-06,1.91871,-0.00111215
1.125e-06,1.92159,-0.00111968
1.135e-06,1.92015,-0.001122
1.145e-06,1.92447,-0.00111778
1.155e-06,1.92447,-0.00110898
1.165e-06,1.92447,-0.00109645
1.175e-06,1.92375,-0.00108152
1.185e-06,1.92447,-0.00106638
1.195e-06,1.92375,-0.00105167
1.205e-06,1.91943,-0.00103801
1.215e-06,1.90575,-0.00102548
1.225e-06,1.87767,-0.00101062
1.235e-06,1.85823,-0.000991685
1.245e-06,1.83159,-0.000967888
1.255e-06,1.80782,-0.000941416
1.265e-06,1.78766,-0.000913395
1.275e-06,1.76318,-0.000885797
1.285e-06,1.73654,-0.000860522
1.295e-06,1.71278,-0.000838485
1.305e-06,1.6883,-0.000817927
1.315e-06,1.66525,-0.000798566
1.325e-06,1.63933,-0.000781246
1.335e-06,1.61845,-0.000765476
1.345e-06,1.59181,-0.000750339
1.355e-06,1.57021,-0.000737173
1.365e-06,1.54501,-0.000724923
1.375e-06,1.5198,-0.000714151
1.385e-06,1.49244,-0.000702675
1.395e-06,1.46868,-0.00069134
1.405e-06,1.4478,-0.000678315
1.415e-06,1.4226,-0.000665924
1.425e-06,1.3974,-0.000653885
1.435e-06,1.37219,-0.000642198
1.445e-06,1.34843,-0.000630229
1.455e-06,1.32467,-0.000617979
1.465e-06,1.30163,-0.000606644
1.475e-06,1.27715,-0.000594323
1.485e-06,1.25483,-0.00058334
1.495e-06,1.22746,-0.00057109
1.505e-06,1.20226,-0.00055898
1.515e-06,1.17706,-0.000546237
1.525e-06,1.15762,-0.000533916
1.535e-06,1.12666,-0.000521103
1.545e-06,1.10865,-0.000508289
1.555e-06,1.08273,-0.000496743
1.565e-06,1.06113,-0.000483296
1.575e-06,1.03377,-0.000469144
1.585e-06,1.01073,-0.000456401
1.595e-06,0.984806,-0.000443658
1.605e-06,0.964644,-0.000431689
1.615e-06,0.937283,-0.000419369
1.625e-06,0.910641,-0.000406696
1.635e-06,0.888319,-0.00039339
1.645e-06,0.865277,-0.000380083
1.655e-06,0.842956,-0.00036734
1.665e-06,0.812714,-0.000355371
1.675e-06,0.791832,-0.000343966
1.685e-06,0.76735,-0.000333335
1.695e-06,0.742869,-0.000321929
1.705e-06,0.720547,-0.000308904
1.715e-06,0.691025,-0.000294964
1.725e-06,0.670864,-0.000281165
1.735e-06,0.647102,-0.000268633
1.745e-06,0.6219,-0.000257932
1.755e-06,0.599578,-0.000246878
1.765e-06,0.570776,-0.00023491
1.775e-06,0.545575,-0.000221251
1.785e-06,0.524693,-0.000206678
1.795e-06,0.499491,-0.000192174
1.805e-06,0.47645,-0.000180346
1.815e-06,0.449088,-0.000169363
1.825e-06,0.424606,-0.000158169
1.835e-06,0.402284,-0.000145637
1.845e-06,0.378523,-0.000132472
1.855e-06,0.354761,-0.000119306
1.865e-06,0.328839,-0.000106985
1.875e-06,0.302197,-9.59317e-05
1.885e-06,0.282036,-8.42446e-05
1.895e-06,0.257554,-7.28391e-05
1.905e-06,0.233072,-6.09408e-05
1.915e-06,0.210751,-4.69304e-05
1.925e-06,0.184109,-3.27791e-05
1.935e-06,0.160347,-2.0388e-05
1.945e-06,0.137305,-8.63049e-06
1.955e-06,0.111384,3.54944e-06
1.965e-06,0.0840217,1.51661e-05
1.975e-06,0.0624201,2.78389e-05
1.985e-06,0.0379384,4.11453e-05
1.995e-06,0.0105764,5.46629e-05
2.005e-06,-0.0117451,6.84621e-05
2.015e-06,-0.0369469,8.16277e-05
2.025e-06,-0.0571084,9.28924e-05
2.035e-06,-0.0830302,0.000104368
2.045e-06,-0.111112,0.000115844
2.055e-06,-0.134154,0.000128376
2.065e-06,-0.160076,0.000141683
2.075e-06,-0.183117,0.000154285
2.085e-06,-0.208319,0.000167873
2.095e-06,-0.229921,0.000180827
2.105e-06,-0.256563,0.000194415
2.115e-06,-0.281044,0.000206314
2.125e-06,-0.304806,0.000218846
2.135e-06,-0.330008,0.000231377
2.145e-06,-0.352329,0.000244754
2.155e-06,-0.373931,0.000258342
2.165e-06,-0.402733,0.000271578
2.175e-06,-0.425775,0.000283758
2.185e-06,-0.448096,0.000296783
2.195e-06,-0.476178,0.000308963
2.205e-06,-0.49634,0.000321284
2.215e-06,-0.50786,0.000334097
2.225e-06,-0.50426,0.000344869
2.235e-06,-0.50642,0.000349234
2.245e-06,-0.50642,0.000345573
2.255e-06,-0.50642,0.00033804
2.265e-06,-0.5057,0.000326494
2.275e-06,-0.50642,0.000314102
2.285e-06,-0.50498,0.000302063
2.295e-06,-0.508581,0.000292136
2.305e-06,-0.50714,0.000283969
2.315e-06,-0.50714,0.000276436
2.325e-06,-0.5057,0.000269959
2.335e-06,-0.50786,0.000264679
2.345e-06,-0.50786,0.000260314
2.355e-06,-0.50498,0.000257286
2.365e-06,-0.50714,0.000255456
2.375e-06,-0.50642,0.000254681
2.385e-06,-0.50714,0.000254822
2.395e-06,-0.508581,0.000253977
2.405e-06,-0.50642,0.000254259
2.415e-06,-0.510021,0.000254329
2.425e-06,-0.50786,0.0002544
2.435e-06,-0.509301,0.000255104
2.445e-06,-0.511461,0.000256512
2.455e-06,-0.508581,0.000257709
2.465e-06,-0.508581,0.000258765
2.475e-06,-0.508581,0.000258835
2.485e-06,-0.509301,0.000258765
2.495e-06,-0.509301,0.000258694
2.505e-06,-0.50714,0.000258624
2.515e-06,-0.510021,0.000258413
2.525e-06,-0.510021,0.00025792
2.535e-06,-0.509301,0.000258624
2.545e-06,-0.509301,0.000258694
2.555e-06,-0.50786,0.000257709
2.565e-06,-0.512901,0.000256723
2.575e-06,-0.50786,0.00025623
2.585e-06,-0.508581,0.000256301
2.595e-06,-0.510741,0.000255385
2.605e-06,-0.508581,0.000255385
2.615e-06,-0.512181,0.000255737
2.625e-06,-0.50642,0.000256301
2.635e-06,-0.509301,0.000257005
2.645e-06,-0.508581,0.000257497
2.655e-06,-0.510021,0.000257849
2.665e-06,-0.508581,0.000258413
2.675e-06,-0.50786,0.000257779
2.685e-06,-0.510741,0.000256723
2.695e-06,-0.510741,0.00025616
2.705e-06,-0.50714,0.000256653
2.715e-06,-0.512901,0.000256723
2.725e-06,-0.50714,0.000257286
2.735e-06,-0.509301,0.000258131
2.745e-06,-0.50786,0.000257357
2.755e-06,-0.509301,0.000256582
2.765e-06,-0.510021,0.000255878
2.775e-06,-0.508581,0.000255385
2.785e-06,-0.510021,0.000256441
2.795e-06,-0.508581,0.000257638
2.805e-06,-0.510021,0.000258342
2.815e-06,-0.510741,0.00025799
2.825e-06,-0.511461,0.000257497
2.835e-06,-0.508581,0.000256371
2.845e-06,-0.510021,0.000255315
2.855e-06,-0.510741,0.000255737
2.865e-06,-0.510021,0.00025623
2.875e-06,-0.512181,0.000257145
2.885e-06,-0.508581,0.000257145
2.895e-06,-0.511461,0.000255737
2.905e-06,-0.512901,0.000253766
2.915e-06,-0.508581,0.000253273
2.925e-06,-0.508581,0.000254048
2.935e-06,-0.510741,0.000255385
2.945e-06,-0.510021,0.000256653
2.955e-06,-0.512181,0.000256371
2.965e-06,-0.50786,0.000255245
2.975e-06,-0.509301,0.000254329
2.985e-06,-0.510741,0.000254892
2.995e-06,-0.50786,0.000256371
3.005e-06,-0.511461,0.000257216
3.015e-06,-0.510021,0.000257286
3.025e-06,-0.512181,0.000257638
3.035e-06,-0.511461,0.000256582
3.045e-06,-0.510741,0.000255315
3.055e-06,-0.508581,0.000254822
3.065e-06,-0.510741,0.000255597
3.075e-06,-0.510021,0.000256653
3.085e-06,-0.508581,0.000257216
3.095e-06,-0.514341,0.000257005
3.105e-06,-0.508581,0.000255878
3.115e-06,-0.508581,0.000254611
3.125e-06,-0.510021,0.00025447
3.135e-06,-0.510021,0.000255245
3.145e-06,-0.509301,0.000256441
3.155e-06,-0.510021,0.000257075
3.165e-06,-0.512181,0.000256934
3.175e-06,-0.508581,0.000255949
3.185e-06,-0.512901,0.000255526
3.195e-06,-0.511461,0.00025447
3.205e-06,-0.510021,0.0002544
3.215e-06,-0.508581,0.00025454
3.225e-06,-0.510021,0.000255104
3.235e-06,-0.510021,0.000256019
3.245e-06,-0.510741,0.000256582
3.255e-06,-0.511461,0.000256653
3.265e-06,-0.512901,0.000256653
3.275e-06,-0.511461,0.000255737
3.285e-06,-0.512181,0.000255385
3.295e-06,-0.510021,0.000255104
3.305e-06,-0.510021,0.000255878
3.315e-06,-0.511461,0.000254892
3.325e-06,-0.511461,0.000255174
3.335e-06,-0.510741,0.000255456
3.345e-06,-0.510741,0.000255737
3.355e-06,-0.510021,0.000254752
3.365e-06,-0.512181,0.000255737
3.375e-06,-0.511461,0.000255174
3.385e-06,-0.510021,0.000254681
3.395e-06,-0.50642,0.0002544
3.405e-06,-0.510021,0.000254188
3.415e-06,-0.510741,0.000253696
3.425e-06,-0.50714,0.000253836
3.435e-06,-0.510021,0.000254611
3.445e-06,-0.510741,0.000255878
3.455e-06,-0.510741,0.000255737
3.465e-06,-0.512901,0.000255878
3.475e-06,-0.512901,0.000255808
3.485e-06,-0.510021,0.000255245
3.495e-06,-0.510741,0.00025454
3.505e-06,-0.509301,0.000254118
3.515e-06,-0.511461,0.000254048
3.525e-06,-0.513621,0.000254681
3.535e-06,-0.510021,0.000254681
3.545e-06,-0.510021,0.00025447
3.555e-06,-0.508581,0.0002544
3.565e-06,-0.510741,0.000254681
3.575e-06,-0.512181,0.000254048
3.585e-06,-0.514341,0.000253977
3.595e-06,-0.510741,0.000253977
3.605e-06,-0.510021,0.00025447
3.615e-06,-0.510021,0.000254681
3.625e-06,-0.510021,0.000255737
3.635e-06,-0.508581,0.000255526
3.645e-06,-0.510021,0.00025454
3.655e-06,-0.511461,0.000253625
3.665e-06,-0.510741,0.000253414
3.675e-06,-0.510021,0.000254611
3.685e-06,-0.510741,0.000255174
3.695e-06,-0.510741,0.000255245
3.705e-06,-0.511461,0.000255245
3.715e-06,-0.510021,0.000255245
3.725e-06,-0.509301,0.000254892
3.735e-06,-0.510741,0.000254892
3.745e-06,-0.508581,0.000255033
3.755e-06,-0.50786,0.000255878
3.765e-06,-0.510021,0.000256019
3.775e-06,-0.511461,0.000255526
3.785e-06,-0.510741,0.0002544
3.795e-06,-0.510021,0.000253344
3.805e-06,-0.50714,0.000253414
3.815e-06,-0.510021,0.000254188
3.825e-06,-0.511461,0.00025454
3.835e-06,-0.512181,0.000254822
3.845e-06,-0.512181,0.000254611
3.855e-06,-0.510021,0.000255174
3.865e-06,-0.510741,0.000255737
3.875e-06,-0.509301,0.00025623
3.885e-06,-0.510021,0.000256371
3.895e-06,-0.510741,0.000255737
3.905e-06,-0.510741,0.000255597
3.915e-06,-0.509301,0.000254611
3.925e-06,-0.511461,0.000254188
3.935e-06,-0.512901,0.000254048
3.945e-06,-0.509301,0.000254892
3.955e-06,-0.50786,0.000254963
3.965e-06,-0.512181,0.000255174
3.975e-06,-0.508581,0.000254892
3.985e-06,-0.511461,0.000253977
3.995e-06,-0.510021,0.000254118
4.005e-06,-0.510021,0.000254611
4.015e-06,-0.511461,0.00025447
4.025e-06,-0.512181,0.000254681
4.035e-06,-0.512181,0.000255174
4.045e-06,-0.510741,0.000254822
4.055e-06,-0.511461,0.000254329
4.065e-06,-0.509301,0.000254892
4.075e-06,-0.513621,0.000255667
4.085e-06,-0.509301,0.000256019
