  Measurement Number     Measurement type
                  85               OnLine

      Measurement ID                     
       739707.659488                     

          Force Mode                Value         MeasureRange
             Current                    0         1.000000e-06

    Supply Complince     Integrating time     Refresh interval
        1.000000e-03                    0                    0

        Time      Voltage      Current  Temperature
1.2509e+01   5.0005e+00   0.0000e+00             NA
1.2602e+01   5.0005e+00   0.0000e+00             NA
1.2703e+01   5.0005e+00   5.0000e-11             NA
1.2802e+01   5.0005e+00   0.0000e+00             NA
1.2910e+01   5.0005e+00   5.0000e-11             NA
1.3002e+01   5.0005e+00   5.0000e-11             NA
1.3103e+01   5.0005e+00   5.0000e-11             NA
1.3202e+01   5.0005e+00   5.0000e-11             NA
1.3303e+01   5.0005e+00   5.0000e-11             NA
1.3402e+01   5.0005e+00   5.0000e-11             NA
1.3504e+01   5.0005e+00   -5.0000e-11             NA
1.3602e+01   5.0005e+00   5.0000e-11             NA
1.3703e+01   5.0005e+00   5.0000e-11             NA
1.3802e+01   5.0005e+00   5.0000e-11             NA
1.3902e+01   5.0005e+00   5.0000e-11             NA
1.4011e+01   5.0005e+00   5.0000e-11             NA
1.4102e+01   5.0005e+00   5.0000e-11             NA
1.4203e+01   5.0005e+00   5.0000e-11             NA
1.4302e+01   5.0005e+00   0.0000e+00             NA
1.4409e+01   5.0005e+00   0.0000e+00             NA
1.4502e+01   5.0005e+00   0.0000e+00             NA
1.4603e+01   5.0005e+00   0.0000e+00             NA
1.4702e+01   5.0005e+00   5.0000e-11             NA
1.4808e+01   5.0005e+00   5.0000e-11             NA
1.4902e+01   5.0005e+00   5.0000e-11             NA
1.5006e+01   5.0005e+00   5.0000e-11             NA
1.5102e+01   5.0005e+00   5.0000e-11             NA
1.5206e+01   5.0005e+00   5.0000e-11             NA
1.5302e+01   5.0005e+00   5.0000e-11             NA
1.5405e+01   5.0005e+00   0.0000e+00             NA
1.5502e+01   5.0005e+00   5.0000e-11             NA
1.5607e+01   5.0005e+00   5.0000e-11             NA
1.5702e+01   5.0005e+00   0.0000e+00             NA
1.5808e+01   5.0005e+00   5.0000e-11             NA
1.5902e+01   5.0005e+00   5.0000e-11             NA
1.6003e+01   5.0005e+00   0.0000e+00             NA
1.6102e+01   5.0005e+00   5.0000e-11             NA
1.6209e+01   5.0005e+00   0.0000e+00             NA
1.6302e+01   5.0005e+00   5.0000e-11             NA
1.6407e+01   5.0003e+00   5.0000e-11             NA
1.6502e+01   5.0005e+00   5.0000e-11             NA
1.6603e+01   5.0005e+00   5.0000e-11             NA
1.6702e+01   5.0005e+00   5.0000e-11             NA
1.6807e+01   5.0005e+00   5.0000e-11             NA
1.6902e+01   5.0005e+00   5.0000e-11             NA
1.7003e+01   5.0005e+00   5.0000e-11             NA
1.7102e+01   5.0005e+00   5.0000e-11             NA
1.7205e+01   5.0005e+00   5.0000e-11             NA
1.7302e+01   5.0005e+00   5.0000e-11             NA
1.7403e+01   5.0005e+00   -5.0000e-11             NA
1.7502e+01   5.0005e+00   5.0000e-11             NA
1.7604e+01   5.0005e+00   0.0000e+00             NA
1.7702e+01   5.0005e+00   5.0000e-11             NA
1.7807e+01   5.0005e+00   5.0000e-11             NA
1.7902e+01   5.0005e+00   5.0000e-11             NA
1.8003e+01   5.0005e+00   -5.0000e-11             NA
1.8102e+01   5.0005e+00   5.0000e-11             NA
1.8204e+01   5.0003e+00   0.0000e+00             NA
1.8302e+01   5.0005e+00   0.0000e+00             NA
1.8402e+01   5.0005e+00   5.0000e-11             NA
